Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Substrate	Substrate PubChem CID	Substrate  HMDB ID	Substrate ChEBI ID	Metabolite	Metabolite PubChem CID	Metabolite HMDB ID	Metabolite ChEBI ID
Clostridium scindens VPI 12708	29347	gm0885	strain	Bile acid	439520		CHEBI:22868	Lithocholic acid	9903	HMDB0000761	CHEBI:16325
Clostridium scindens VPI 12708	29347	gm0885	strain	Cholic acid	221493	HMDB0000619	CHEBI:16359	Lithocholic acid	9903	HMDB0000761	CHEBI:16325
Clostridium scindens VPI 12708	29347	gm0885	strain	Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755	Lithocholic acid	9903	HMDB0000761	CHEBI:16325
Haemophilus parainfluenzae	729	gm0358	species	Cholesterol	5997	HMDB0000067	CHEBI:16113	(4S)-4-[(2E)-Oct-2-enoyloxy]-4-(trimethylazaniumyl)butanoate	53481667		CHEBI:176711
Haemophilus parainfluenzae	729	gm0358	species	Cholesterol	5997	HMDB0000067	CHEBI:16113	Bile acid	439520		CHEBI:22868
Haemophilus parainfluenzae	729	gm0358	species	Cholesterol	5997	HMDB0000067	CHEBI:16113	Propionate	104745		CHEBI:17272
Faecalibacterium prausnitzii	853	gm0327	species	Cholesterol	5997	HMDB0000067	CHEBI:16113	Bile acid	439520		CHEBI:22868
Eubacterium ramulus  ATTC 29099		gm0891	strain	Cynaroside	5280637	HMDB0035588	CHEBI:27994	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Taxifolin	439533		CHEBI:17948	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Phloretin	4788	HMDB0003306	CHEBI:17276	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Luteolin	5280445	HMDB0005800	CHEBI:15864	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one	932	HMDB0128074	CHEBI:50202	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Eriodictyol	440735	HMDB0005810	CHEBI:28412	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Kaempferol	5280863	HMDB0005801	CHEBI:28499	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Rutin	5280805	HMDB0003249	CHEBI:28527	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Quercetin	5280343	HMDB0005794	CHEBI:16243	Phenolic acid			CHEBI:166890
Eubacterium ramulus  ATTC 29099		gm0891	strain	Isoquercitrin	5280804	HMDB0037362	CHEBI:68352	Acetate	175		CHEBI:30089
Eubacterium ramulus  ATTC 29099		gm0891	strain	Isoquercitrin	5280804	HMDB0037362	CHEBI:68352	Butyrate	104775		CHEBI:17968
Eubacterium ramulus  ATTC 29099		gm0891	strain	Isoquercitrin	5280804	HMDB0037362	CHEBI:68352	Kaempferol-3-sorphoroside			
Eubacterium ramulus  ATTC 29099		gm0891	strain	Isoquercitrin	5280804	HMDB0037362	CHEBI:68352	3,4-Dihydroxyphenylacetic acid	547	HMDB0001336	CHEBI:41941
Eubacterium ramulus  ATTC 29099		gm0891	strain	Taxifolin	439533		CHEBI:17948	3,4-Dihydroxyphenylacetic acid	547	HMDB0001336	CHEBI:41941
Eubacterium ramulus  ATTC 29099		gm0891	strain	Luteolin	5280445	HMDB0005800	CHEBI:15864	Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Eubacterium ramulus  ATTC 29099		gm0891	strain	Eriodictyol	440735	HMDB0005810	CHEBI:28412	Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Eubacterium ramulus  ATTC 29099		gm0891	strain	Kaempferol	5280863	HMDB0005801	CHEBI:28499	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Eubacterium ramulus  ATTC 29099		gm0891	strain	5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one	932	HMDB0128074	CHEBI:50202	3-(4-Hydroxyphenyl)propionic acid	10394	HMDB0002199	CHEBI:32980
Eubacterium ramulus  ATTC 29099		gm0891	strain	Kaempferol-3-sorphoroside-7-glucoside				Kaempferol-3-sorphoroside			
Eubacterium ramulus  ATTC 29099		gm0891	strain	Quercetin	5280343	HMDB0005794	CHEBI:16243	3,4-Dihydroxyphenylacetic acid	547	HMDB0001336	CHEBI:41941
Eubacterium ramulus  ATTC 29099		gm0891	strain					Phloroglucinol	359	HMDB0013675	CHEBI:16204
Lachnospiraceae	186803	gm0386	family					Indoxyl sulfate	10258	HMDB0000682	CHEBI:43355
Lachnospiraceae	186803	gm0386	family					p-Cresol sulfate	4615423	HMDB0011635	CHEBI:82914
Lachnospiraceae	186803	gm0386	family					Phenylacetylglutamine	92258	HMDB0006344	CHEBI:17884
Clostridium sp. TM-40	371143	gm0893	species	Daidzein	5281708	HMDB0003312	CHEBI:28197	Dihydrodaidzein	176907	HMDB0005760	CHEBI:75842
Clostridium sp. TM-40	371143	gm0893	species	Daidzin	107971	HMDB0033991	CHEBI:42202	Dihydrodaidzein	176907	HMDB0005760	CHEBI:75842
Slackia sp. NATTS	647703	gm0894	species	Daidzein	5281708	HMDB0003312	CHEBI:28197	Equol	91469	HMDB0002209	CHEBI:34741
Escherichia coli BW25113	679895	gm0895	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	2,3-Butanediol	262	HMDB0003156	CHEBI:62064
Escherichia coli BW25113	679895	gm0895	strain	Pyruvate	107735		CHEBI:15361	2-Acetoxypropanoic acid	79041		
Escherichia coli BW25113	679895	gm0895	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Acetoin	179	HMDB0003243	CHEBI:15688
Escherichia coli BW25113	679895	gm0895	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	2,3-Butanedione	650	HMDB0003407	CHEBI:16583
Escherichia coli JCL166		gm0896	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	2,3-Butanediol	262	HMDB0003156	CHEBI:62064
Escherichia coli JCL166		gm0896	strain	Pyruvate	107735		CHEBI:15361	2-Acetoxypropanoic acid	79041		
Escherichia coli JCL166		gm0896	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Acetoin	179	HMDB0003243	CHEBI:15688
Escherichia coli JCL166		gm0896	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	2,3-Butanedione	650	HMDB0003407	CHEBI:16583
Klebsiella	570	gm0380	genus	Choline	305	HMDB0000097	CHEBI:15354	Trimethylamine	1146	HMDB0000906	CHEBI:18139
Klebsiella	570	gm0380	genus	Carnitine	288		CHEBI:17126	Trimethylamine	1146	HMDB0000906	CHEBI:18139
Klebsiella	570	gm0380	genus	Trimethylamine oxide	1145	HMDB0000925	CHEBI:15724	Trimethylamine	1146	HMDB0000906	CHEBI:18139
Escherichia	561	gm0304	genus	Choline	305	HMDB0000097	CHEBI:15354	Trimethylamine	1146	HMDB0000906	CHEBI:18139
Escherichia	561	gm0304	genus	Carnitine	288		CHEBI:17126	Trimethylamine	1146	HMDB0000906	CHEBI:18139
Escherichia	561	gm0304	genus	Trimethylamine oxide	1145	HMDB0000925	CHEBI:15724	Trimethylamine	1146	HMDB0000906	CHEBI:18139
Clostridium orbiscindens I1		gm0897	strain	Hesperetin dihydrochalcone	147608	HMDB0128062		3-Hydroxy-4-methoxybenzenepropanoic acid	2752054	HMDB0131138	
Eubacterium ramulus  DSM 16296		gm0898	strain	beta-D-Glucopyranoside, 3,5-dihydroxy-4-(3-(3-hydroxy-4-methoxyphenyl)-1-oxopropyl)phenyl	168008			Hesperetin dihydrochalcone	147608	HMDB0128062	
Eubacterium ramulus  DSM 16296		gm0898	strain	Hesperetin dihydrochalcone	147608	HMDB0128062		3-Hydroxy-4-methoxybenzenepropanoic acid	2752054	HMDB0131138	
Eggerthella sp. YY7918	502558	gm0915	species	Daidzein	5281708	HMDB0003312	CHEBI:28197	Equol	91469	HMDB0002209	CHEBI:34741
Eggerthella sp. YY7918	502558	gm0915	species	Dihydrodaidzein	176907	HMDB0005760	CHEBI:75842	Equol	91469	HMDB0002209	CHEBI:34741
Firmicutes	1239	gm0332	phylum					Butyrate	104775		CHEBI:17968
Firmicutes	1239	gm0332	phylum					Butyrate	104775		CHEBI:17968
Firmicutes	1239	gm0332	phylum					Butyrate	104775		CHEBI:17968
Firmicutes	1239	gm0332	phylum					Butyrate	104775		CHEBI:17968
Fusobacteriia	203490	gm0343	class					Butyrate	104775		CHEBI:17968
Fusobacteriia	203490	gm0343	class					Butyrate	104775		CHEBI:17968
Fusobacteriia	203490	gm0343	class					Butyrate	104775		CHEBI:17968
Fusobacteriia	203490	gm0343	class					Butyrate	104775		CHEBI:17968
Lactobacillus mucosae EPI2		gm0947	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	Dihydrodaidzein	176907	HMDB0005760	CHEBI:75842
Lactobacillus mucosae EPI2		gm0947	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	O-Desmethylangolensin	89472	HMDB0004629	CHEBI:88902
Enterococcus faecium EPI1		gm0948	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	Dihydrodaidzein	176907	HMDB0005760	CHEBI:75842
Enterococcus faecium EPI1		gm0948	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	O-Desmethylangolensin	89472	HMDB0004629	CHEBI:88902
Finegoldia magna EPI3		gm0949	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	Dihydrodaidzein	176907	HMDB0005760	CHEBI:75842
Finegoldia magna EPI3		gm0949	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	O-Desmethylangolensin	89472	HMDB0004629	CHEBI:88902
Roseburia sp. A2-181		gm0956	species					Butyrate	104775		CHEBI:17968
Roseburia sp. A2-183	180589	gm0957	species					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain					Butyrate	104775		CHEBI:17968
Clostridium sp. L2-50	411489	gm0958	species					Acetate	175		CHEBI:30089
Akkermansia muciniphila	239935	gm0030	species					Acetate	175		CHEBI:30089
Akkermansia muciniphila	239935	gm0030	species					Propionate	104745		CHEBI:17272
Eggerthella lenta rK3		gm0959	strain	Cianidanol	9064	HMDB0002780	CHEBI:15600	1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol	21722175	HMDB0127722	
Eggerthella lenta rK3		gm0959	strain	(-)-Epicatechin	72276	HMDB0001871	CHEBI:90	1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol	21722175	HMDB0127722	
Flavonifractor plautii aK2		gm0960	strain	1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol	21722175	HMDB0127722		3,4-diHPP-2-ol			
Flavonifractor plautii aK2		gm0960	strain	1-(3,4-Dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-2-propanol	21722175	HMDB0127722		3,4-diHPVL			
Lactobacillus	1578	gm0393	genus					Trimethylamine oxide	1145	HMDB0000925	CHEBI:15724
Bifidobacterium	1678	gm0105	genus					Trimethylamine oxide	1145	HMDB0000925	CHEBI:15724
Blautia	572511	gm0117	genus					Trimethylamine oxide	1145	HMDB0000925	CHEBI:15724
Collinsella	102106	gm0217	genus					Trimethylamine oxide	1145	HMDB0000925	CHEBI:15724
Faecalibacterium prausnitzii ATCC 27768T		gm0961	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii ATCC 27766		gm0962	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii ATCC 27768T		gm0961	strain					D-Lactic acid	61503	HMDB0001311	CHEBI:42111
Faecalibacterium prausnitzii ATCC 27766		gm0962	strain					D-Lactic acid	61503	HMDB0001311	CHEBI:42111
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain					D-Lactic acid	61503	HMDB0001311	CHEBI:42111
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain					D-Lactic acid	61503	HMDB0001311	CHEBI:42111
Prevotellaceae	171552	gm0540	family					Succinate	160419		CHEBI:30031
Veillonellaceae	31977	gm0680	family					Succinate	160419		CHEBI:30031
Faecalibacterium prausnitzii	853	gm0327	species					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Mollicutes	31969	gm0455	class					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Coprococcus	33042	gm0223	genus					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Ruminococcaceae	541000	gm0581	family					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Chistensenellaceae	990719	gm0827	family					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Tenericutes	544448	gm0637	phylum					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Lachnospiraceae	186803	gm0386	family					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Eubacterium	1730	gm0309	genus					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Eubacterium dolichum	1263076	gm0311	species					3-Indolepropionic acid	3744	HMDB0002302	CHEBI:43580
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	Caffeic acid	689043	HMDB0001964	CHEBI:16433
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	3-(3-Hydroxyphenyl)propanoic acid	91	HMDB0000375	CHEBI:1427
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	Dehydroxychlorogenic acid			
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	Dihydrochlorogenic acid			
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	2,3-Dihydroxypropyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	5315606		
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	Dihydrocaffeoyl-glycerol			
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	3-Hydroxyphenethyl alcohol	83404		
Bifidobacterium	1678	gm0105	genus	Chlorogenic acid	1794427	HMDB0003164	CHEBI:16112	Phenylacetic acid	999	HMDB0000209	CHEBI:30745
Escherichia coli BL21	511693	gm0963	strain	Rutin	5280805	HMDB0003249	CHEBI:28527	Isoquercitrin	5280804	HMDB0037362	CHEBI:68352
Clostridium orbiscindens I2		gm0965	strain	Taxifolin	439533		CHEBI:17948	3,4-Dihydroxyphenylacetic acid	547	HMDB0001336	CHEBI:41941
Clostridium orbiscindens I2		gm0965	strain	Quercetin	5280343	HMDB0005794	CHEBI:16243	3,4-Dihydroxyphenylacetic acid	547	HMDB0001336	CHEBI:41941
Clostridium orbiscindens I2		gm0965	strain	Eriodictyol	440735	HMDB0005810	CHEBI:28412	Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Clostridium orbiscindens I2		gm0965	strain	Luteolin	5280445	HMDB0005800	CHEBI:15864	Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Clostridium orbiscindens I2		gm0965	strain	Apigenin	5280443	HMDB0002124	CHEBI:18388	3-(4-Hydroxyphenyl)propionic acid	10394	HMDB0002199	CHEBI:32980
Clostridium orbiscindens I2		gm0965	strain	5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one	932	HMDB0128074	CHEBI:50202	3-(4-Hydroxyphenyl)propionic acid	10394	HMDB0002199	CHEBI:32980
Clostridium orbiscindens I2		gm0965	strain	Phloretin	4788	HMDB0003306	CHEBI:17276	3-(4-Hydroxyphenyl)propionic acid	10394	HMDB0002199	CHEBI:32980
Slackia faecicanis sp.CCUG 48399		gm0966	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	Equol	91469	HMDB0002209	CHEBI:34741
Phascolarctobacterium succinatutens YIT 12067T		gm0968	strain	Succinate	160419		CHEBI:30031	Propionate	104745		CHEBI:17272
Phascolarctobacterium succinatutens YIT 12068T		gm0969	strain	Succinate	160419		CHEBI:30031	Propionate	104745		CHEBI:17272
Slackia isoflavoniconvertens HE8		gm0970	strain	Daidzein	5281708	HMDB0003312	CHEBI:28197	Equol	91469	HMDB0002209	CHEBI:34741
Slackia isoflavoniconvertens HE8		gm0970	strain	Genistein	5280961	HMDB0003217	CHEBI:28088	5-OH-Equol	9795113		
Eubacterium ramulus	39490	gm0737	species	Genistein 7-O-glucoside	44257273			2-(4-Hydroxyphenyl)propionic acid, (2S)-	6971268		
Eubacterium ramulus	39490	gm0737	species	Genistein	5280961	HMDB0003217	CHEBI:28088	2-(4-Hydroxyphenyl)propionic acid, (2S)-	6971268		
Eubacterium ramulus	39490	gm0737	species	Daidzein	5281708	HMDB0003312	CHEBI:28197	O-Desmethylangolensin	89472	HMDB0004629	CHEBI:88902
Eubacterium limosum	1736	gm0315	species	Isoxanthohumol	513197		CHEBI:171798	8-Prenylnaringenin	480764		CHEBI:50207
Clostridium	1485	gm0187	genus					Butyrate	104775		CHEBI:17968
Veillonella	29465	gm0676	genus					Propionate	104745		CHEBI:17272
Ruminococcus	1263	gm0587	genus					Alanine	5950	HMDB0062251	CHEBI:16977
Ruminococcus	1263	gm0587	genus					Leucine	6106	HMDB0000687	CHEBI:15603
Ruminococcus	1263	gm0587	genus					l-Isoleucine	6306	HMDB0000172	CHEBI:17191
Ruminococcus	1263	gm0587	genus					Glycine	750	HMDB0000123	CHEBI:15428
Ruminococcus	1263	gm0587	genus					Proline	145742	HMDB0000162	CHEBI:17203
Dorea	189330	gm0266	genus					Alanine	5950	HMDB0062251	CHEBI:16977
Dorea	189330	gm0266	genus					Leucine	6106	HMDB0000687	CHEBI:15603
Dorea	189330	gm0266	genus					l-Isoleucine	6306	HMDB0000172	CHEBI:17191
Dorea	189330	gm0266	genus					Glycine	750	HMDB0000123	CHEBI:15428
Dorea	189330	gm0266	genus					Proline	145742	HMDB0000162	CHEBI:17203
Blautia	572511	gm0117	genus					Alanine	5950	HMDB0062251	CHEBI:16977
Blautia	572511	gm0117	genus					Leucine	6106	HMDB0000687	CHEBI:15603
Blautia	572511	gm0117	genus					l-Isoleucine	6306	HMDB0000172	CHEBI:17191
Blautia	572511	gm0117	genus					Glycine	750	HMDB0000123	CHEBI:15428
Blautia	572511	gm0117	genus					Proline	145742	HMDB0000162	CHEBI:17203
Ruminococcus	1263	gm0587	genus					Serine	5951	HMDB0000187	CHEBI:17115
Dorea	189330	gm0266	genus					Serine	5951	HMDB0000187	CHEBI:17115
Blautia	572511	gm0117	genus					Serine	5951	HMDB0000187	CHEBI:17115
Turicibacter	191303	gm0653	genus					Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Bifidobacterium longum	216816	gm0112	species					Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Lactobacillus mucosae	97478	gm0403	species					Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Lactobacillus zeae	57037	gm0414	species					Dihydrocaffeic acid	348154	HMDB0000423	CHEBI:48400
Eubacterium	1730	gm0309	genus					3-Hydroxybenzoic acid	7420	HMDB0002466	CHEBI:30764
Eubacterium	1730	gm0309	genus					4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Collinsella aerofaciens	74426	gm0829	species					Sedoheptulose	5459879		CHEBI:16802
Collinsella aerofaciens	74426	gm0829	species					Citric acid	311	HMDB0000094	CHEBI:30769
Collinsella aerofaciens	74426	gm0829	species					Tricarballylic acid	14925	HMDB0031193	CHEBI:45969
Escherichia coli	562	gm0305	species					Pipecolic acid	849	HMDB0000070	CHEBI:17964
Faecalibacterium	216851	gm0326	genus					Leucine	6106	HMDB0000687	CHEBI:15603
Faecalibacterium	216851	gm0326	genus					Serine	5951	HMDB0000187	CHEBI:17115
Faecalibacterium prausnitzii	853	gm0327	species					Serine	5951	HMDB0000187	CHEBI:17115
Faecalibacterium prausnitzii	853	gm0327	species					Leucine	6106	HMDB0000687	CHEBI:15603
Faecalibacterium prausnitzii	853	gm0327	species					Malic acid	525		CHEBI:6650
Lactobacillus ruminis	1623	gm0830	species					Glycine	750	HMDB0000123	CHEBI:15428
Dialister	39948	gm0262	genus					Tartaric acid	875	HMDB0062642	CHEBI:15674
Catenibacterium	135858	gm0160	genus					Tartaric acid	875	HMDB0062642	CHEBI:15674
Turicibacter	191303	gm0653	genus					Tartaric acid	875	HMDB0062642	CHEBI:15674
Ruminococcus bromii	40518	gm0588	species					Tartaric acid	875	HMDB0062642	CHEBI:15674
Parabacteroides distasonis	823	gm0496	species					Tartaric acid	875	HMDB0062642	CHEBI:15674
Bacteroides caccae	47678	gm0079	species					Tartaric acid	875	HMDB0062642	CHEBI:15674
Akkermansia	239934	gm0029	genus					Creatine	586	HMDB0000064	CHEBI:16919
Coprococcus catus	116085	gm0788	species					Creatine	586	HMDB0000064	CHEBI:16919
Mitsuokella	52225	gm0449	genus					Creatine	586	HMDB0000064	CHEBI:16919
Weissella	46255	gm0689	genus					Creatine	586	HMDB0000064	CHEBI:16919
Lactobacillus	1578	gm0393	genus					Creatine	586	HMDB0000064	CHEBI:16919
Mitsuokella multacida	52226	gm0450	species					Creatine	586	HMDB0000064	CHEBI:16919
Lactobacillus ruminis	1623	gm0830	species					Creatine	586	HMDB0000064	CHEBI:16919
Faecalibacterium	216851	gm0326	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Succinivibrio	83770	gm0629	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Macrococcus	69965	gm0831	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Bilophila	35832	gm0115	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Enterococcus	1350	gm0287	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Dorea	189330	gm0266	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Clostridium	1485	gm0187	genus					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Faecalibacterium prausnitzii	853	gm0327	species					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Photobacterium angustum	661	gm0832	species					2-Imino-1-methylimidazolidin-4-one	588	HMDB0000562	CHEBI:16737
Escherichia	561	gm0304	genus					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Paraprevotella	577309	gm0500	genus					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Akkermansia	239934	gm0029	genus					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Carnobacterium	2747	gm0156	genus					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Ruminococcus flavefaciens	1265	gm0590	species					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Butyricicoccus pullicaecorum	501571	gm0135	species					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Mitsuokella multacida	52226	gm0450	species					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Bacteroides fragilis	817	gm0082	species					Glycocholic acid	10140	HMDB0000138	CHEBI:17687
Enterococcus	1350	gm0287	genus					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Dermacoccus	57495	gm0833	genus					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Kocuria	57493	gm0834	genus					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Roseburia	841	gm0571	genus					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Eggerthella lenta	84112	gm0695	species					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Bacteroides fragilis	817	gm0082	species					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Oscillospira	119852	gm0486	genus					Citric acid	311	HMDB0000094	CHEBI:30769
Acinetobacter	469	gm0012	genus					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Microbacterium	33882	gm0835	genus					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Dysgonomonas	156973	gm0270	genus					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Bulleidia	118747	gm0129	genus					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Oscillospira	119852	gm0486	genus					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Bacteroides caccae	47678	gm0079	species					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Kocuria rhizophila	72000	gm0836	species					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
Pseudomonas fragi	296	gm0837	species					4-Pyridoxic acid	6723	HMDB0000017	CHEBI:17405
