cid,syno
1201518,"(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol"
1201518,"(1S,2R,4S)-borneol"
1201518,[(1s)-endo]-(-)-borneol
1201518,UNII-1Y84986J9Q
1201518,CHEBI:15394
1201518,DL-Borneol
1201518,1-Bornyl alcohol
1201518,BORNEOL L-FORM
1201518,507-70-0
1201518,"BORNEOL, L-"
1201518,EINECS 207-353-1
1201518,1Y84986J9Q
1201518,Borneo camphor
1201518,Bornyl alcohol
1201518,Sumatra camphor
1201518,DTXSID3022035
1201518,L(-)-Borneol
1201518,"endo-(1S)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol"
1201518,"FEMA NO. 2157, (-)-"
1201518,"Bicyclo(2.2.1)heptan-2-ol, 1,7,7-trimethyl-, (1S,2R,4S)-"
1201518,(-)-Borneol 100 microg/mL in Acetonitrile
1201518,"Borneol, (1S,2R,4S)-(-)-"
1201518,Borneocamphor
1201518,trans-Borneol
1201518,DTXCID102035
1201518,((1S)-endo)-(-)-Borneol
1201518,"(1S-endo)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol"
1201518,endo-2-Bornanol
1201518,Endo-2-camphanol
1201518,"(1S,2R,4S)-(-)-Borneol"
1201518,DL - borneol
1201518,Endo-2-hydroxycamphane
1201518,CAS-464-45-9
1201518,"(1S-endo)-1,7,7-Trimethylbicyclo(2.2.1)heptan-2-ol"
1201518,"(1S,2R,4S)-1,7,7-trimethylbicyclo(2.2.1)heptan-2-ol"
1201518,"(1S,3R,4S)-4,7,7-trimethylbicyclo[2.2.1]heptan-3-ol"
1201518,NA1312
1201518,UN1312
1201518,Borneol (contains ca. 20% Isoborneol)
1201518,NCGC00167417-01
1201518,()-Borneol
1201518,"endo-2-Hydroxy-1,7,7-trimethylnorbornane"
1201518,MFCD00003759
1201518,Borneol (8CI)
1201518,Endo-(-)-Bornan-2-ol
1201518,"(-)-Borneol, 99%"
1201518,"(1S,2R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol"
1201518,BORNEOL L-FORM [MI]
1201518,"Rel-(1S,2R,4S)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol"
1201518,SCHEMBL839194
1201518,"(1S - endo) - 1,7,7 - trimethylbicyclo(2.2.1)heptan - 2 - ol"
1201518,"Biciclo [2.2.1] heptan-2-ol, 1,7,7-trimetil-, (1R, 2S, 4R)-rel-"
1201518,CHEMBL3186705
1201518,BDBM36266
1201518,HY-N1368B
1201518,"(-)-Borneol, analytical standard"
1201518,DTGKSKDOIYIVQL-QXFUBDJGSA-N
1201518,HMS3885A16
1201518,Tox21_112422
1201518,Tox21_302285
1201518,MFCD00066426
1201518,s3977
1201518,AKOS026745399
1201518,CCG-266255
1201518,CS-7797
1201518,"(-)-Borneol, predominantly endo, 97%"
1201518,NCGC00255110-01
1201518,BS-42464
1201518,EN300-105274
1201518,"1,7,7-Trimethyl-endo-Bicyclo[2.2.1]heptan-2-ol"
1201518,Q27089413
1201518,Borneol (20% Isoborneol) 1000 microg/mL in Methanol
1201518,F0001-2352
1201518,Z1255364889
1201518,"1,7,7-Trimethyl-(1R,2S,4R)-rel-Bicyclo[2.2.1]heptan-2-ol"
179536,"Benzenepropanoic acid, alpha,3,4-trihydroxy-, (aS)-"
179536,42085-50-7
179536,SCHEMBL5691448
179536,DTXSID90194927
179536,PD132193
179536,"(s)-3-(3,4-dihydroxyphenyl) lactic acid"
5318350,3-hydroxytanshinone
5318350,CHEMBL377478
11011966,Arucadiol
11011966,105037-85-2
11011966,"5,6-dihydroxy-1,1-dimethyl-7-propan-2-yl-2,3-dihydrophenanthren-4-one"
11011966,"5,6-Dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4(1H)-one"
11011966,MILTIODIOL
11011966,CHEMBL1813350
11011966,DTXSID901318625
11011966,AKOS040736402
11011966,"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one"
6370843,"(1Z,4Z)-germacrene B"
6370843,"(1Z,5Z)-8-isopropylidene-1,5-dimethylcyclodeca-1,5-diene"
6370843,"(1Z,5Z)-1,5-dimethyl-8-propan-2-ylidenecyclodeca-1,5-diene"
6370843,"germacreneB,1,5-dimethyl-8-(1-methylethylidene)-1,5-cyclodecadiene"
6370843,15423-57-1
6370843,"(1Z,4Z)-germacra-1(10),4,7(11)-triene (1Z,5Z)-1,5-dimethyl-8-(propan-2-ylidene)cyclodeca-1,5-diene"
6370843,"trans,trans-germacrene B"
6370843,ML9S6L9M3X
6370843,Germacratriene
6370843,"(E,E)-germacra-1(10),4,7(11)-triene"
6370843,"(1E,4E)-germacra-1(10),4,7(11)-triene"
6370843,UNII-ML9S6L9M3X
6370843,"1,5-Dimethyl-8-(1-methylethylidene)-1,5-cyclodecadiene"
6370843,"(1E,5E)-8-isopropylidene-1,5-dimethylcyclodeca-1,5-diene"
6370843,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethylidene)-, (E,E)-"
6370843,CHEBI:49655
6370843,DTXSID701037033
6370843,LMPR0103090011
6370843,"(1Z,4Z)-germacra-1(10),4,7(11)-triene"
6370843,Q27121630
6370843,"(1Z,5Z)-1,5-dimethyl-8-(propan-2-ylidene)cyclodeca-1,5-diene"
225688,.alpha.-Amyrin
225688,.alpha.-Amyrine
225688,Urs-12-en-3.beta.-ol
225688,"4,4,6a,6b,8a,11,12,14b-octamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picen-3-ol"
225688,.alpha.-Amyrenol
225688,"Urs-12-en-3-ol, (3.beta.)-"
225688,Urs-12-en-3-ol
225688,Urs-12-en-3-ol #
225688,DTXSID30871801
225688,FSLPMRQHCOLESF-UHFFFAOYSA-N
225688,NSC114787
225688,SMP2_000308
225688,A834570
91458,Aucubin
91458,479-98-1
91458,rhinanthin
91458,Aucuboside
91458,UNII-2G52GS8UML
91458,EINECS 207-540-8
91458,2G52GS8UML
91458,NSC 407293
91458,Rhimantin
91458,CHEBI:69796
91458,"1,4a,5,7a-Tetrahydro-5-hydroxy-7-hydroxymethylcyclopenta(c)pyran-1-yl-beta-D-glucopyranoside"
91458,NSC-407293
91458,"(1S,4aR,5S,7aS)-1,4a,5,7a-Tetrahydro-5-hydroxy-7-(hydroxymethyl)cyclopenta[c]pyran-1-yl beta-D-glucopyranoside"
91458,aucubuside
91458,"(1S-(1alpha,4aalpha,5alpha,7aalpha))-1,4a,5,7a-Tetrahydro-5-hydroxy-7-(hydroxymethyl)cyclopenta(c)pyran-1-yl-beta-D-glucopyranoside"
91458,"(2S,3R,4S,5S,6R)-2-[[(1S,4aR,5S,7aS)-5-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-1-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
91458,Aucubine
91458,"[1S-(1alpha,4aalpha,5alpha,7aalpha)]-1,4a,5,7a-tetrahydro-5-hydroxy-7-(hydroxymethyl)cyclopenta[c]pyran-1-yl-beta-D-glucopyranoside"
91458,MFCD00136026
91458,AUCUBIN [MI]
91458,"Aucubin, analytical standard"
91458,MLS002473252
91458,SCHEMBL381032
91458,CHEMBL514882
91458,MEGxp0_001729
91458,ACon1_002452
91458,DTXSID60963965
91458,RJWJHRPNHPHBRN-FKVJWERZSA-N
91458,HMS3098B08
91458,HY-N0664
91458,s5459
91458,AKOS015896774
91458,CCG-267985
91458,CS-5367
91458,LMPR0102070006
91458,NCGC00169833-01
91458,NCGC00169833-02
91458,"(2S,3R,4S,5S,6R)-2-(((1S,4aR,5S,7aS)-5-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-1-yl)oxy)-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol"
91458,"(2S,3R,4S,5S,6R)-2-[[(1S,4aR,5S,7aS)-5-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-1-yl]oxy]-6-(hydroxymethyl)tetrahydropyran-3,4,5-triol"
91458,AC-33938
91458,AS-74899
91458,SMR001397339
91458,LS-183147
91458,AUCUBIN (CONSTITUENT OF CHASTE TREE)
91458,C09771
91458,A827419
91458,"Aucubin, primary pharmaceutical reference standard"
91458,Q418014
91458,Q-100516
91458,"(1S,4AR,5S,7AS)-1,4A,5,7A-TETRAHYDRO-5-HYDROXY-7-(HYDROXYMETHYL)CYCLOPENTA(C)PYRAN-1-YL-.BETA.-D-GLUCOPYRANOSIDE"
91458,"(1S,4AR,5S,7AS)-1,4A,5,7A-TETRAHYDRO-5-HYDROXY-7-(HYDROXYMETHYL)CYCLOPENTA(C)PYRAN-1-YL-beta-D-GLUCOPYRANOSIDE"
91458,"(2S,3R,4S,5S,6R)-2-((1S,4aR,5R,7aS)-5-Hydroxy-7-hydroxymethyl-1,4a,5,7a-tetrahydro-cyclopenta[c]pyran-1-yloxy)-6-hydroxymethyl-tetrahydro-pyran-3,4,5-triol"
91458,"(2S,3R,4S,5S,6R)-2-((1S,4aR,5S,7aS)-5-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-1-yloxy)-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol"
91458,"(2S,3R,4S,5S,6R)-2-{[(1S,4aR,5S,7aS)-5-hydroxy-7-(hydroxymethyl)-1H,4aH,5H,7aH-cyclopenta[c]pyran-1-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol"
91458,".beta.-D-Glucopyranoside, (1S,4aR,5S,7aS)-1,4a,5,7a-tetrahydro-5-hydroxy-7-(hydroxymethyl)cyclopenta[c]pyran-1-yl"
91458,"B-D-GLUCOPYRANOSIDE, (1S,4AR,5S,7AS)-1,4A,5,7A-TETRAHYDRO-5-HYDROXY-7-(HYDROXYMETHYL)CYCLOPENTA[C]PYRAN-1-YL"
5281522,Isocaryophyllene
5281522,Caryophyllene
5281522,118-65-0
5281522,(-)-ISOCARYOPHYLLENE
5281522,Cis-caryophyllene
5281522,gamma-caryophyllene
5281522,NRY8I0KNIR
5281522,UNII-NRY8I0KNIR
5281522,87-44-5
5281522,Isocaryophyllene (80per cent)
5281522,Caryophyllene (VAN)
5281522,"(1R,4Z,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
5281522,EINECS 204-267-6
5281522,beta-Caryophyllene (natural)
5281522,CHEBI:5993
5281522,beta-Caryophyllen
5281522,DTXSID10881246
5281522,CARYOPHYLLENE ISOCARYOPHYLLENE
5281522,C15H24
5281522,"Bicyclo(7.2.0)undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-"
5281522,g-Caryophyllene
5281522,EINECS 201-746-1
5281522,.gamma.-Caryophyllene
5281522,"(1R-(1R*,4Z,9S*))-4,11,11-Trimethyl-8-methylenebicyclo(7.2.0)undec-4-ene"
5281522,AI3-36121
5281522,.beta.-cis-Caryophyllene
5281522,"2-Methylene-6,10,10-trimethylbicyclo(7.2.0)undec-5-ene"
5281522,-Caryophyllene
5281522,ss-Caryophyllene
5281522,"Bicyclo(7.2.0)undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)-"
5281522,"[1R-(1R*,4Z,9S*)]-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene"
5281522,"Bicyclo(7.2.0)undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R-(1R*,4Z,9S*))-"
5281522,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-"
5281522,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, [1R-(1R*,4Z,9S*)]-"
5281522,"4,11,11-Trimethyl-8-methylenebicyclo(7.2.0)undec-4-ene, (1R-(1R*,4E,9S))-"
5281522,"Bicyclo(7.2.0)undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R-(1R*,4E,9S*))-"
5281522,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-,[1R-(1R*,4Z,9S*)]-"
5281522,(-)--caryophyllene
5281522,"4,11,11-Trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene #"
5281522,CHEMBL448700
5281522,"(1R,9S,E)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene"
5281522,DTXCID401474828
5281522,(-)-Caryophyllene sum of enantiomers
5281522,CS-T-10638
5281522,LMPR0103120002
5281522,LS-1865
5281522,"CARYOPHYLLENE ,ALPHA + BETA MIXT"
5281522,BS-48823
5281522,"caryophyllene, (R-(R*,4E,9S))-isomer"
5281522,CARYOPHYLLENE ISOCARYOPHYLLENE [MI]
5281522,"CARYOPHYLLENE, ALPHA + BETA MIXT."
5281522,C09691
5281522,E75762
5281522,Q27106968
5281522,(-)-(E)-Caryophyllene;()--caryophyllene;()-trans-Caryophyllene
5281522,"(1beta,9alpha)-4,11,11-Trimethyl-8-methylenebicyclo[7.2.0]undeca-4-ene"
5281522,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, [1R-(1R,4Z,9S)]-"
5281522,"(1R - (1R*,4Z,9S*)) - 4,11,11 - trimethyl - 8 - methylenebicyclo(7.2.0)undec - 4 - ene"
443161,(-)-beta-Phellandrene
443161,6153-17-9
443161,beta-Phellandrene l-form
443161,UNII-V8A8NZ60JW
443161,V8A8NZ60JW
443161,"Cyclohexene, 3-methylene-6-(1-methylethyl)-, (-)-"
443161,"(-)-p-mentha-1(7),2-diene"
443161,"(4R)-p-mentha-1(7),2-diene"
443161,(6R)-3-methylidene-6-(propan-2-yl)cyclohex-1-ene
443161,"p-Mentha-1(7),2-diene, (-)-"
443161,(R)-3-isopropyl-6-methylenecyclohexene
443161,(3R)-3-isopropyl-6-methylenecyclohexene
443161,L-beta-Phellandrene
443161,.delta.-phellandrene
443161,(4S)-beta-phellandrene
443161,CHEBI:129
443161,L-.BETA.-PHELLANDRENE
443161,LFJQCDVYDGGFCH-SNVBAGLBSA-N
443161,(-)-.BETA.-PHELLANDRENE
443161,DTXSID201316042
443161,.BETA.-PHELLANDRENE L-FORM
443161,".BETA.-PHELLANDRENE, (-)-"
443161,.BETA.-PHELLANDRENE L-FORM [MI]
443161,(-)-3-methylene-6-(1-methylethyl)cyclohexene
443161,Q27105254
443161,"CYCLOHEXENE, 3-METHYLENE-6-(1-METHYLETHYL)-, (6R)-"
442027,Ferruginol
442027,514-62-5
442027,trans-Ferruginol
442027,(+)-Ferruginol
442027,N2CMM6X37M
442027,CHEBI:78274
442027,"abieta-8,11,13-trien-12-ol"
442027,UNII-N2CMM6X37M
442027,"(4bS,8aS)-4b,8,8-trimethyl-2-propan-2-yl-5,6,7,8a,9,10-hexahydrophenanthren-3-ol"
442027,"3-Phenanthrenol, 4b,5,6,7,8,8a,9,10-octahydro-4b,8,8-trimethyl-2-(1-methylethyl)-, (4bS,8aS)-"
442027,CHEMBL197308
442027,MEGxp0_000699
442027,"Podocarpa-8,11,13-trien-12-ol, 13-isopropyl-"
442027,AC1L9C4T
442027,SureCN155580
442027,SCHEMBL155580
442027,"8,11,13-abietatrien-12-ol"
442027,ACon1_000701
442027,DTXSID20331722
442027,QXNWVJOHUAQHLM-AZUAARDMSA-N
442027,AMY22250
442027,HY-N6033
442027,"12-hydroxyabieta-8,11,13-triene"
442027,BDBM50483056
442027,AKOS032948384
442027,CS-0032206
442027,C09092
442027,"Abieta-9(11),8(14),12-trien-12-ol #"
442027,A937505
442027,Q3743828
442027,BRD-K27959543-001-01-3
442027,"(4bs,8as)-4b,8,8-trimethyl-2-propane-2-yl-5,6,7,8a,9,10-hexa hydrophenanthren-3-ol"
442027,"(4BS,8AS)-4B,5,6,7,8,8A,9,10-OCTAHYDRO-4B,8,8-TRIMETHYL-2-(1-METHYLETHYL)-3-PHENANTHRENOL"
442027,"(4BS,8AS)-4B,8,8-TRIMETHYL-2-(PROPAN-2-YL)-4B,5,6,7,8,8A,9,10-OCTAHYDROPHENANTHREN-3-OL"
442027,"3-PHENANTHRENOL, 4B,5,6,7,8,8A,9,10-OCTAHYDRO-4B,8,8-TRIMETHYL-2-(1-METHYLETHYL)-, (4BS-TRANS)-"
442009,carnosol
442009,5957-80-2
442009,Picrosalvin
442009,UNII-483O455CKD
442009,CCRIS 7122
442009,CHEBI:3429
442009,CHEMBL218693
442009,HSDB 7680
442009,483O455CKD
442009,"(4aR,9S,10aS)-5,6-Dihydroxy-7-isopropyl-1,1-dimethyl-2,3,4,9,10,10a-hexahydro-1H-9,4a-(epoxymethano)phenanthren-12-one"
442009,"1,3,4,9,10,10aS-Hexahydro-5,6-dihydroxy-1,1-dimethyl-7-isopropyl-2H-9S,4aR-(epoxymethano)phenanthren-12-one"
442009,NSC-39143
442009,"2H-9,4a-(Epoxymethano)phenanthren-12-one, 1,3,4,9,10,10a-hexahydro-5,6-dihydroxy-1,1-dimethyl-7-(1-methylethyl)-, (4aR-(4aalpha,9alpha,10abeta))-"
442009,MFCD02752467
442009,CARNOSOL [HSDB]
442009,CARNOSOL [MI]
442009,SCHEMBL42365
442009,"Carnosol, analytical standard"
442009,DTXSID80904451
442009,"(1R,8S,10S)-3,4-dihydroxy-11,11-dimethyl-5-propan-2-yl-16-oxatetracyclo[6.6.2.01,10.02,7]hexadeca-2,4,6-trien-15-one"
442009,HY-N0643
442009,BDBM50213683
442009,NSC 39143
442009,s9127
442009,AKOS015897159
442009,CCG-208130
442009,AC-34727
442009,CS-0009670
442009,C09069
442009,CARNOSOL (CONSTITUENT OF ROSEMARY) [DSC]
442009,BRD-K67265981-001-01-5
442009,Q16634054
442009,"7-beta,11,12-trihydroxy-13-isopropylpodocarpa-8,11,13-trien-17-oic acid 17,7-lactone"
442009,"(1R,8S,10S)-3,4-dihydroxy-11,11-dimethyl-5-(propan-2-yl)-16-oxatetracyclo[6.6.2.0^{1,10}.0^{2,7}]hexadeca-2,4,6-trien-15-one"
442009,"2H-9,4A-(EPOXYMETHANO)PHENANTHREN-12-ONE, 1,3,4,9,10,10A-HEXAHYDRO-5,6-DIHYDROXY-1,1-DIMETHYL-7-(1-METHYLETHYL)-, (4AR,9S,10AS)-"
442009,"2H-9,4A-(EPOXYMETHANO)PHENANTHREN-12-ONE, 1,3,4,9,10,10A-HEXAHYDRO-5,6-DIHYDROXY-1,1-DIMETHYL-7-(1-METHYLETHYL)-, (4AR-(4A.ALPHA.,9.ALPHA.,10A.BETA.))-"
442009,"PODOCARPA-8,11,13-TRIEN-17-OIC ACID, 7.BETA.,11,12-TRIHYDROXY-13-ISOPROPYL-, 17,7-LACTONE"
10208,Chrysophanol
10208,481-74-3
10208,CHRYSOPHANIC ACID
10208,3-Methylchrysazin
10208,"1,8-Dihydroxy-3-methylanthraquinone"
10208,Turkey rhubarb
10208,"1,8-dihydroxy-3-methylanthracene-9,10-dione"
10208,C.I. Natural Yellow 23
10208,NSC 37132
10208,"1,8-Dihydroxy-3-methyl-9,10-anthracenedione"
10208,NSC 646567
10208,"4,5-Dihydroxy-2-methylanthraquinone"
10208,Crysophanic acid
10208,Crysophanol
10208,"2-Methyl-4,5-dihydroxyanthraquinone"
10208,"3-Methyl-1,8-dihydroxyanthraquinone"
10208,C.I. 75400
10208,"1,8-Dihydroxy-3-Methyl-Anthraquinone"
10208,CCRIS 3525
10208,CHEBI:3687
10208,Chrysophansaeure
10208,UNII-N1ST8V8RR2
10208,EINECS 207-572-2
10208,N1ST8V8RR2
10208,NSC-37132
10208,NSC-646567
10208,"Anthraquinone, 1,8-dihydroxy-3-methyl-"
10208,DTXSID6024832
10208,"1,8-dihydroxy-3-methyl-9,10-anthraquinone"
10208,"9,10-Anthracenedione, 1,8-dihydroxy-3-methyl-"
10208,"Chrysophanic acid (1,8-dihydroxy-3-methylanthraquinone)"
10208,DTXCID704832
10208,"1,8-Dihydroxy-3-methylanthra-9,10-quinone"
10208,HSDB 8483
10208,NSC646567
10208,Archinin
10208,Rumicin
10208,MFCD00001208
10208,TURKEY-RHUBARB
10208,RHENIC ACID
10208,Spectrum_000792
10208,"Chrysophanic Acid,(S)"
10208,SpecPlus_000321
10208,Spectrum2_000043
10208,Spectrum3_001183
10208,Spectrum4_001477
10208,Spectrum5_000153
10208,"1,8-dihydroxy-3-methyl-anthracene-9,10-dione"
10208,BSPBio_002825
10208,KBioGR_002053
10208,KBioSS_001272
10208,SPECTRUM300545
10208,MLS000574888
10208,CHEMBL41092
10208,DivK1c_006417
10208,SCHEMBL308131
10208,SPBio_000165
10208,CHRYSOPHANIC ACID [MI]
10208,"9, 1,8-dihydroxy-3-methyl-"
10208,Chrysophanic acid (Chrysophanol)
10208,Chrysophanic acid - Chrysophanol
10208,"Chrysophanol, analytical standard"
10208,KBio1_001361
10208,KBio2_001272
10208,KBio2_003840
10208,KBio2_006408
10208,KBio3_002325
10208,HMS3656G17
10208,CHRYSOPHANIC ACID [WHO-DD]
10208,BCP23439
10208,EX-A6777
10208,NSC37132
10208,Tox21_202499
10208,"Anthraquinone,8-dihydroxy-3-methyl-"
10208,BDBM50455992
10208,CCG-38348
10208,LMPK13040006
10208,s2406
10208,STL564344
10208,"3-Methyl-1, 8-dihydroxyanthraquinone"
10208,"4, 5-Dihydroxy-2-methylanthraquinone"
10208,AKOS015905000
10208,AC-7980
10208,BCP9000004
10208,CS-O-06294
10208,DS-9706
10208,LS-1289
10208,SDCCGMLS-0066504.P001
10208,NCGC00091823-01
10208,NCGC00091823-02
10208,NCGC00091823-03
10208,NCGC00091823-04
10208,NCGC00091823-05
10208,NCGC00260048-01
10208,CAS-481-74-3
10208,HY-13595
10208,SMR000156239
10208,"1,8-Dihydroxy-3-methylanthraquinone, 98%"
10208,"8,9-dihydroxy-6-methyl-1,10-anthraquinone"
10208,C2505
10208,FT-0623813
10208,SW219732-1
10208,"1,8-Dihydroxy-3-methylanthra-9,10-quinone #"
10208,EN300-7401332
10208,A827496
10208,N-(diaminomethylene)formamide;3-METHYLCHRYSAZIN
10208,SR-01000712223
10208,"1,8-Dihydroxy-3-methyl-9,10-anthracenedione, 9CI"
10208,Q-100527
10208,SR-01000712223-2
10208,BRD-K59284035-001-02-0
10208,BRD-K59284035-001-03-8
10208,Q15410875
10208,"9,10-Anthracenedione, 1,8-dihydroxy-3-methyl- (9CI)"
10208,"1,8-DIHYDROXY-3-METHYL-9,10-DIHYDROANTHRACENE-9,10-DIONE"
5281235,beta-Cryptoxanthin
5281235,Cryptoxanthin
5281235,472-70-8
5281235,Caricaxanthin
5281235,Cryptoxanthine
5281235,Cryptoxanthol
5281235,beta-Caroten-3-ol
5281235,Kryptoxanthin
5281235,Neocryptoxanthin
5281235,Xanthrophyll 1
5281235,(3R)-Cryptoxanthin
5281235,Neo-beta-cryptoxanthin
5281235,"(3R)-beta,beta-caroten-3-ol"
5281235,3-Hydroxy-beta-carotene
5281235,UNII-6ZIB13GI33
5281235,6ZIB13GI33
5281235,E 161c
5281235,"beta,beta-Caroten-3-ol, (3R)-"
5281235,BETA-CRYPTOXANTHINE
5281235,C40H56O
5281235,CRYPTOXANTHIN (E 161C)
5281235,DTXSID30912309
5281235,"(1R)-3,5,5-trimethyl-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohex-3-en-1-ol"
5281235,".beta.,.beta.-Caroten-3-ol, (3R)-"
5281235,Cryptoxanthins
5281235,"beta,beta-carotene-3-ol"
5281235,all-trans-beta-Cryptoxanthin
5281235,(R)-all-trans-beta-caroten-3-ol
5281235,b-Krypoxanthin
5281235,beta -Cryptoxanthin
5281235,"b,b-Caroten-3-ol"
5281235,Hydroxy-beta-carotene
5281235,3-Hydroxy-b-carotene
5281235,CRYPTOXANTHIN [MI]
5281235,beta-Cryptoxanthin - 97%
5281235,.BETA.-CRYPTOXANTHIN
5281235,SCHEMBL24469
5281235,.BETA.-CAROTEN-3-OL
5281235,CRYPTOXANTHIN [WHO-DD]
5281235,NEO-.BETA.-CRYPTOXANTHIN
5281235,CHEBI:10362
5281235,DMASLKHVQRHNES-FKKUPVFPSA-N
5281235,DTXCID301341331
5281235,3-HYDROXY-.BETA.-CAROTENE
5281235,"beta-Cryptoxanthin, >=97% (TLC)"
5281235,LMPR01070269
