name,cor,p.value,components
PPARG,-0.396094296020941,0.00173145396767204,dan-shexinkum d
PPARG,-0.396094296020941,0.00173145396767204,"2-isopropyl-8-methylphenanthrene-3,4-dione"
PPARG,-0.396094296020941,0.00173145396767204,dihydroisotanshinoneⅠ
PPARG,-0.396094296020941,0.00173145396767204,Przewaquinone B
PPARG,-0.396094296020941,0.00173145396767204,3α-hydroxytanshinoneⅡa
PPARG,-0.396094296020941,0.00173145396767204,"1,2-DT-Quinone"
PPARG,-0.396094296020941,0.00173145396767204,kaempferol
PPARG,-0.396094296020941,0.00173145396767204,dihydrotanshinlactone
PPARG,-0.396094296020941,0.00173145396767204,aloeemodin
PPARG,-0.396094296020941,0.00173145396767204,"(E)-3-(3-hydroxy-4,5-dimethoxy-phenyl)acrylic acid"
PPARG,-0.396094296020941,0.00173145396767204,tanshinaldehyde
PPARG,-0.396094296020941,0.00173145396767204,formyltanshinone
PPARG,-0.396094296020941,0.00173145396767204,Nortrachelogenin
PPARG,-0.396094296020941,0.00173145396767204,(R)-p-Menth-1-en-4-ol
PPARG,-0.396094296020941,0.00173145396767204,EIC
PPARG,-0.396094296020941,0.00173145396767204,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(Z)-3-(3,4-dihydroxyphenyl)acryloyl]oxy-propionic acid"
PPARG,-0.396094296020941,0.00173145396767204,Mono-O-methylwightin
PPARG,-0.396094296020941,0.00173145396767204,oleanolic acid
PPARG,-0.396094296020941,0.00173145396767204,Methylenetanshinquinone
PPARG,-0.396094296020941,0.00173145396767204,prolithospermic acid
PPARG,-0.396094296020941,0.00173145396767204,"1-methyl-8,9-dihydro-7H-naphtho[5,6-g]benzofuran-6,10,11-trione"
PPARG,-0.396094296020941,0.00173145396767204,"1,2,5,6-tetrahydrotanshinone"
PPARG,-0.396094296020941,0.00173145396767204,"(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid"
PPARG,-0.396094296020941,0.00173145396767204,Dehydrotanshinone II A
PPARG,-0.396094296020941,0.00173145396767204,"(6S)-6-(hydroxymethyl)-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione"
PPARG,-0.396094296020941,0.00173145396767204,alpha-amyrin
PPARG,-0.396094296020941,0.00173145396767204,salvilenone Ⅰ
PPARG,-0.396094296020941,0.00173145396767204,isoferulic acid
PPARG,-0.396094296020941,0.00173145396767204,"(2S,3S)-2-(3,4-dihydroxyphenyl)-7-hydroxy-4-[(E)-3-hydroxy-3-oxoprop-1-enyl]-2,3-dihydrobenzofuran-3-carboxylic acid"
PPARG,-0.396094296020941,0.00173145396767204,tanshinone i
PPARG,-0.396094296020941,0.00173145396767204,3beta-Hydroxytanshinone IIA
PPARG,-0.396094296020941,0.00173145396767204,dihydrotanshinoneⅠ
PPARG,-0.396094296020941,0.00173145396767204,Salvigenin
PPARG,-0.396094296020941,0.00173145396767204,3-beta-Hydroxymethyllenetanshiquinone
PPARG,-0.396094296020941,0.00173145396767204,methyltanshinonate
PPARG,-0.396094296020941,0.00173145396767204,Danshenol A
PPARG,-0.396094296020941,0.00173145396767204,4-methylenemiltirone
PPARG,-0.396094296020941,0.00173145396767204,isotanshinone i
PPARG,-0.396094296020941,0.00173145396767204,Z-8-Hexadecen-1-ol acetate
PPARG,-0.396094296020941,0.00173145396767204,Tanshilactone
PPARG,-0.396094296020941,0.00173145396767204,methylrosmarinate
PPARG,-0.396094296020941,0.00173145396767204,palmitic acid
PPARG,-0.396094296020941,0.00173145396767204,salvianic acid c
PPARG,-0.396094296020941,0.00173145396767204,przewaquinone f
PPARG,-0.396094296020941,0.00173145396767204,beta-sitosterol
PPARG,-0.396094296020941,0.00173145396767204,Tanshinol A
PPARG,-0.396094296020941,0.00173145396767204,dan-shexinkum b
PPARG,-0.396094296020941,0.00173145396767204,tanshinone Ⅵ
PRKCB,0.269869209364793,0.0370433094665966,alpha-amyrin
PRKCB,0.269869209364793,0.0370433094665966,caffeic acid
PRSS8,-0.297411413242053,0.0210120785373893,tanshinone i
SLC22A5,-0.258219755051244,0.0463700036013319,palmitic acid
ST14,-0.289855751912742,0.0246753655641688,tanshinone i
TGFB1,0.303556868931924,0.0183830629456915,dihydrotanshinone i
TGFB1,0.303556868931924,0.0183830629456915,danshensu
TGFB1,0.303556868931924,0.0183830629456915,carnosol
TGFB1,0.303556868931924,0.0183830629456915,beta-sitosterol
TGFB1,0.303556868931924,0.0183830629456915,cryptotanshinone
TMPRSS11A,0.323221008112453,0.0117686841351391,tanshinone i
TMPRSS2,-0.350486949311325,0.0060432536141989,tanshinone i
TMPRSS4,-0.360861694188378,0.00461793072776001,tanshinone i
TPO,0.269384606942384,0.0373975949214612,chlorogenic acid
