query (Name + Affiliation)	Author	Documents	h.index	Affiliation	City	Country.Territory
Harky, A#Liverpool Heart & Chest Hospital	Harky, Amer	345	31	Liverpool Heart and Chest Hospital	Liverpool	United Kingdom
Bergom, C#UTMD Anderson Cancer Center	NA	NA	NA	NA	NA	NA
Stehlik, J#	Stehlik, Josef	311	73	University of Utah School of Medicine	Salt Lake City	United States
Stehlik, J#	Stehlik, Josef	311	73	University of Utah School of Medicine	Salt Lake City	United States
Stehlik, J#	Stehlik, Josef	311	73	University of Utah School of Medicine	Salt Lake City	United States
Straub, A C#University of Pittsburgh	Straub, Adam C.	92	31	University of Pittsburgh School of Medicine	Pittsburgh	United States
Qiu, L N#	Qiu, Lina	39	11	University of Science and Technology Beijing	Beijing	China
Stein, P D#Florida Atlantic University	NA	NA	NA	NA	NA	NA
Brida, M#University of Munster	Brida, Margarita	58	15	National Heart and Lung Institute	London	United Kingdom
Buckley, B J R#Aalborg University	NA	NA	NA	NA	NA	NA
Reddy, Y N V#Mayo Clinic	Reddy, Yogesh N.V.	193	39	Mayo Clinic	Rochester	United States
Zhou, R H#Sichuan University	Zhou, Ronghua	58	24	Chinese Academy of Agricultural Sciences	Beijing	China
Deana, C#Hospital Santa Maria della Misericordia	Deana, Cristian	61	12	Azienda Sanitaria Universitaria Friuli Centrale	Udine	Italy
Sakai, K#Saitama Medical University	Sakai, Kenichiro	67	16	Saiseikai Kawaguchi General Hospital	Saitama	Japan
Toste, P A#Ronald Reagan UCLA Medical Center	Toste, Paul A.	17	13	David Geffen School of Medicine at UCLA	Los Angeles	United States
Udani, K#Louisiana State University Health Sciences Center at Shreveport	NA	NA	NA	NA	NA	NA
Bertrand, L#Lady Davis Institute	NA	NA	NA	NA	NA	NA
Gumauskiene, B#Lithuanian University of Health Sciences	GumauskienÄ, BirutÄ	4	3	Kaunas University of Medicine	Kaunas	Lithuania
Cao, Y#Sichuan University	Cao, Yilin	422	66	Shanghai Jiao Tong University School of Medicine	Shanghai	China
Bellani, G#IRCCS Ca Granda Ospedale Maggiore Policlinico	Bellani, Giacomo	276	52	UniversitÃ  degli Studi di Milano-Bicocca	Milan	Italy
Xia, G Z#Huazhong University of Science & Technology	Xia, Zhiguo	4	2	Tongji Medical College of Huazhong University of Science and Technology	Wuhan	China
Short, K R#University of Queensland	Short, Kirsty R.	100	29	The University of Queensland	Brisbane	Australia
Fox, H#RWTH Aachen University	Fox, Henrik	127	21	Herz- und Diabeteszentrum Nordrhein-Westfalen UniversitÃ¤tsklinik der Ruhr-UniversitÃ¤t Bochum	Bad Oeynhausen	Germany
Rassler, B#Heart Center Leipzig GMBH	RaÃler, Beate	57	18	UniversitÃ¤t Leipzig	Leipzig	Germany
Sharma, T S#	Sharma, Tonmoy S.	190	75	Clinical Neuroscience Research Centre	Dartford	United Kingdom
Menger, J#University Medical Center Hamburg-Eppendorf	Menger, Johanna	1	1	UniversitÃ¤tsklinikum Hamburg-Eppendorf	Hamburg	Germany
Talarico, M#Magna Graecia University of Catanzaro	Talarico, Mariagrazia	2	0	UniversitÃ  degli studi Magna Graecia di Catanzaro	Catanzaro	Italy
Benn, B S#Palo Alto Medical Foundation Research Institute	Benn, Bryan S.	45	8	Cleveland Clinic Foundation	Cleveland	United States
Falster, C#University of Southern Denmark	Falster, Casper	26	4	Odense Universitetshospital	Odense	Denmark
Maguire, P A#Australian National University	Kane-Maguire, Leon A.P.	164	36	University of Wollongong	Wollongong	Australia
Pacagnelli, F L#Universidade Estadual Paulista	Pacagnelli, Francis Lopes	43	9	Universidade do Oeste Paulista	Presidente Prudente	Brazil
Brown, R D#Children's Hospital Colorado	Brown, David Russell	61	22	Children's Hospital of New Jersey	Newark	United Kingdom
Yipp, B G#University of Calgary	Yipp, Bryan G.	64	22	Snyder Institute for Chronic Diseases	Calgary	Canada
Lookin, O#Russian Academy of Sciences	Lookin, Oleg N.	38	11	UniversitÃ© de Montpellier	Montpellier	France
Lopez, C N#The Methodist Hospital - Houston	Lopez, Chelsea N.	6	2	Houston Methodist Hospital	Houston	United States
Wang, C#Peking Union Medical College	Wang, Cheng	501	53	National Clinical Research Center for Respiratory Diseases	Beijing	China
Huang, Y B#Guangzhou Medical University	Huang, Yongbo	61	22	Guangzhou Institute of Respiratory Health	Guangzhou	China
Hudson, M#University of Calgary	Hudson, Marie Anne R.	356	59	Institut Lady Davis de Recherches MÃ©dicales	Montreal	Canada
Ishida, H#Osaka University	Ishida, Hideyuki	420	26	Saitama Medical Center, Saitama Medical University	Kawagoe	Japan
Vahdatpour, C A#University of Pennsylvania	Vahdatpour, Cyrus A.	10	3	University of Florida	Gainesville	United States
Alpaydin, A O#University of Oxford	NA	NA	NA	NA	NA	NA
Damico, R L#Johns Hopkins University	Damico, Rachel Lynn	94	28	Johns Hopkins University	Baltimore	United States
Barreto, J A#Universidade de Sao Paulo	Barreto-Filho, JosÃ© Augusto Soares	94	22	UniversitÃ© FÃ©dÃ©rale de Sergipe	Sao Cristovao	Brazil
Spiekerkoetter, E#University of Colorado Anschutz Medical Campus	NA	NA	NA	NA	NA	NA
Tan, W B#University of South Carolina Columbia	Tan, Wenbin	57	20	University of South Carolina	Columbia	United States
Chaulin, A M#Samara State Medical University	Chaulin, Aleksey M.	77	24	Samara State Medical University	Samara	Russian Federation
Çoner, A#City Hospital Ankara	NA	NA	NA	NA	NA	NA
Csósza, G#Semmelweis University	CsÃ³sza, GyÃ¶rgyi	5	3	Semmelweis Egyetem	Budapest	Hungary
de Man, F S#Vrije Universiteit Amsterdam	De Man, Frances S.	141	38	Amsterdam UMC - Vrije Universiteit Amsterdam	Amsterdam	Netherlands
Zeitlinger, M#University of Vienna	Zeitlinger, Markus Alexander	312	41	Medizinische UniversitÃ¤t Wien	Vienna	Austria
Stalder, G#Liverpool John Moores University	NA	NA	NA	NA	NA	NA
Zhao, Y Y#Feinberg School of Medicine	Zhao, Richard Yuqi	102	32	VA Medical Center	NA	United States
Muneuchi, J#	Muneuchi, Jun	91	12	Japan Community Healthcare Organization	Tokyo	Japan
Gazourian, L#Lahey Hospital & Medical Center	Gazourian, Lee	23	14	Tufts University School of Medicine	Boston	United States
Toomasian, J M#University of Michigan	Toomasian, John M.	69	22	Extracorporeal Life Support Laboratory	NA	NA
Hu, D#Jefferson University	NA	NA	NA	NA	NA	NA
Jansen, G#University of Bielefeld	Jansen, Gerrit	39	6	UniversitÃ¤t Bielefeld	Bielefeld	Germany
Kato, S#Kanagawa Cardiovascular & Respiratory Center	Kato, Shingo	80	16	Graduate School of Medicine	Yokohama	Japan
Khir, A W#Royal Brompton Hospital	Khir, Ashraf William	113	23	Durham University	Durham	United Kingdom
Kimura, K#University of Tokyo	Kimura, Tadashi K.	679	58	Graduate School of Medicine	Suita	Japan
Kolb, T M#Johns Hopkins University	Kolb, Todd M.	80	25	Johns Hopkins School of Medicine	Baltimore	United States
Kiley, J P#NIH National Heart Lung & Blood Institute	Kiley, James P.	121	39	Division of Lung Diseases	Bethesda	Liberia
Lakhdar, S#Icahn School of Medicine at Mount Sinai	Lakhdar, Sofia	12	3	Ochsner Medical Center - New Orleans	New Orleans	United States
Lang, I M#Medical University of Vienna	Lang, Irene M.	311	74	Medizinische UniversitÃ¤t Wien	Vienna	Austria
Zeng, Z Y#Shanghai Jiao Tong University	Zeng, Yixin	530	90	Sun Yat-Sen University Cancer Center	Guangzhou	China
Thébaud, B#Children's Hospital of Eastern Ontario	ThÃ©baud, Bernard	122	46	Children's Hospital of Eastern Ontario, Ottawa	Ottawa	Canada
Hashimoto, T#Kyushu University	Hashimoto, Takashi	1044	73	Osaka City University	Osaka	Japan
Mo, M#Kyoto University	Mo, Xiumei	423	71	Donghua University	Shanghai	China
Morty, R E#Justus Liebig University Giessen	Morty, Rory Edward	190	48	UniversitÃ¤tsklinikum Heidelberg	Heidelberg	Germany
Tajiri, K#University of Tsukuba	Tajiri, Kazuko	72	15	University of Tsukuba	Tsukuba	Japan
Haouzi, P#Penn State Health	Haouzi, Philippe A.	144	26	Cleveland Clinic Foundation	Cleveland	United States
Pinto, F J#Universidade de Lisboa	Pinto, Fausto J.	552	54	Faculdade de Medicina, Universidade de Lisboa	Lisbon	Portugal
Rajendram, R#King Abdulaziz Medical City - Riyadh	Rajendram, Rajkumar	189	17	King Abdulaziz Medical City - Riyadh	Riyadh	Saudi Arabia
Poh, K K#National University of Singapore	Poh, Kiankeong	265	32	NUS Yong Loo Lin School of Medicine	Singapore City	Singapore
Neary, P#University of Saskatchewan	NA	NA	NA	NA	NA	NA
Alpert, M A#University of Missouri Columbia	Alpert, Martin A.	257	41	University of Missouri School of Medicine	Columbia	United States
Sueta, D#Kumamoto University	Sueta, Daisuke	169	26	Graduate School of Medical Sciences	Kumamoto	Japan
Suzuki, T#University of Tokyo	Suzuki, Takashi	1292	63	Ishizuchi Eye Clinic	Niihama	Japan
Shiba, N#International University of Health & Welfare	Shiba, Nobuyuki	66	22	International University of Health and Welfare Hospital	Nasushiobara	Japan
Lilly, B#Medical College of Wisconsin	NA	NA	NA	NA	NA	NA
Surachetpong, S D#Chulalongkorn University	Surachetpong, Sirilak Disatian	55	11	Chulalongkorn University	Bangkok	Thailand
Rhodes, C J#Imperial College London	Rhodes, Christopher J.	214	27	Fresh-lands Environmental Actions	Caversham	United Kingdom
Yano, T#Sapporo Medical University	Yano, Toshiyuki	141	27	Sapporo Medical University School of Medicine	Sapporo	Japan
Zinserling, V A#Institute of Experimental Medicine	Zinserling, Vsevolod Alexandrovich	36	7	Almazov National Research Centre	Saint Petersburg	Russian Federation
Maraziti, G#Instituto de Salud Carlos III	NA	NA	NA	NA	NA	NA
Agarwal, H#Sanjay Gandhi Postgraduate Institute of Medical Sciences	Agarwal, Harshita	1	1	Sanjay Gandhi Postgraduate Institute of Medical Sciences Lucknow	Lucknow	India
Antonios, M A M#Alexandria University	Antonios, Manal Abdelmalik M.	11	6	Alexandria University Hospitals	Alexandria	Egypt
Tang, W C#Virginia Commonwealth University	NA	NA	NA	NA	NA	NA
Lopes, L R#Queen Mary University London	NA	NA	NA	NA	NA	NA
Ahmad, S#University of Alabama Birmingham	Ahmad, Shama	74	25	Department of Anesthesiology and Perioperative Medicine	Birmingham	United States
Zwaenepoel, B#Ghent University Hospital	Zwaenepoel, Bert A.C.	12	3	Universitair Ziekenhuis Gent	Ghent	Belgium
Conway, D S#University of Melbourne	NA	NA	NA	NA	NA	NA
Diab, K A#Sidra Medical & Research Center	Diab, Karim Assaad	42	13	Northwestern University Feinberg School of Medicine	Chicago	United States
Rajagopal, R#All India Institute of Medical Sciences	Ramesh, Rajagopal	116	51	University of Oklahoma Health Sciences Center	Oklahoma City	United States
Sharma, T S#	Sharma, Tonmoy S.	190	75	Clinical Neuroscience Research Centre	Dartford	United Kingdom
Simpson, J A#University of Guelph	Simpson, Jeremy A.	68	25	University of Guelph	Guelph	Canada
Mal, H#Universite Paris Saclay	NA	NA	NA	NA	NA	NA
Girgis, R E#Hannover Medical School	NA	NA	NA	NA	NA	NA
Yang, L#Sichuan University	Yang, Cheng Xiang	420	51	Key Laboratory of Green Chemistry and Technology, Ministry of Education	Chengdu	China
Bakhshi, S#All India Institute of Medical Sciences	Bakhshi, Sameer	537	33	Institute Rotary Cancer Hospital India	New Delhi	India
Liu, M Y#University of Toronto	Liu, Mingyao	324	66	University of Toronto Faculty of Medicine	Toronto	Canada
Rekik, S#Institut de Recherche pour le Developpement	NA	NA	NA	NA	NA	NA
Shokoohi, H#Brigham & Women's Hospital	NA	NA	NA	NA	NA	NA
Demerouti, E A#Onassis Cardiac Surgery Center	Demerouti, Eftychia A.	36	8	Onassis Cardiac Surgery Centre	Athens	Greece
McKinney, J#University of British Columbia	McKinney, James L.	37	12	The University of British Columbia	Vancouver	Canada
Sang, C J  I I I#Jefferson University	NA	NA	NA	NA	NA	NA
Maeder, M T#Kantonsspital St. Gallen	Maeder, Micha Tobias	198	39	Kantonsspital St.Gallen	St Gallen	Switzerland
de Boer, R A#University of Texas Southwestern Medical Center Dallas	NA	NA	NA	NA	NA	NA
Wu, S H#Capital Medical University	Wu, Husheng	50	16	Beijing Children's Hospital, Capital Medical University	Beijing	China
Kwak, Y L#Yonsei University Health System	Kwak, Young Lan	200	32	Yonsei University College of Medicine	Seoul	South Korea
Gargani, L#Chaim Sheba Medical Center	Gargani, Luna	198	50	UniversitÃ  di Pisa	Pisa	Italy
Yu, J#Xianyang Normal University	Yu, Shujuan	19	9	Yan'an University	Xi'an	China
Schwedhelm, E#Schleswig Holstein University Hospital	NA	NA	NA	NA	NA	NA
Lavie, C J#Ochsner Health System	Lavie, Carl J.	1235	110	Ochsner Heart and Vascular Institute	New Orleans	United States
Chowdhury, U K#Newcastle University - UK	NA	NA	NA	NA	NA	NA
De Vito, E L#University of Buenos Aires	de Vito, Eduardo Luis	103	11	Instituto de Investigaciones Medicas Alfredo Lanari	Buenos Aires	Argentina
Peter, K#Florey Institute of Neuroscience & Mental Health	Peter, Karlheinz H.	388	67	Baker Heart and Diabetes Institute	Melbourne	Australia
Rumiz, E#CIBERCV	NA	NA	NA	NA	NA	NA
Bongomin, F#Makerere University	Bongomin, Felix A.	186	22	Faculty of Biology, Medicine and Health	Manchester	United Kingdom
Fernando, S M#NewYork-Presbyterian Hospital	NA	NA	NA	NA	NA	NA
Oster, M E#Children's Healthcare of Atlanta	Oster, Matthew E.	186	43	Emory University School of Medicine	Atlanta	United States
Arachchillage, D J#Guy's & St Thomas' NHS Foundation Trust	NA	NA	NA	NA	NA	NA
Ade, C J#Kansas State University	Ade, Carl J.	57	13	Kansas State University	Manhattan	United States
Igwegbe, C A#Jamia Millia Islamia	NA	NA	NA	NA	NA	NA
Sartori, M#University of Padua	Sartori, Maria Teresa	142	33	Azienda Ospedale UniversitÃ  Padova	Padua	Italy
Gorospe, L#Hospital Universitario Ramon y Cajal	Gorospe-SarasÃºa, Luis	205	16	Hospital Universitario RamÃ³n y Cajal	Madrid	Spain
Kim, K J#Catholic University of Korea	Kim, Beomjoon	497	37	Chung-Ang University	Seoul	South Korea
Olivo, C R#Universidade de Sao Paulo	Olivo, Clarice Rosa	36	18	Universidade de SÃ£o Paulo	Sao Paulo	Brazil
Bakaeen, F G#Barnes-Jewish Hospital	NA	NA	NA	NA	NA	NA
Liu, J W#Dalian Medical University	Liu, Junwei	112	15	Qingdao University of Technology	Qingdao	China
Gow, A J#Rutgers New Brunswick	Gow, Andrew J.	181	48	Ernest Mario School of Pharmacy	Piscataway	United States
Sun, D Q#Tianjin Medical University	Sun, Daqiang	43	9	Tianjin Medical University	Tianjin	China
Cubbon, R M#University of Leeds	Cubbon, Richard M.	127	33	University of Leeds, School of Medicine	Leeds	United Kingdom
Muñoz, E#University of Eastern Piedmont Amedeo Avogadro	MuÃ±Ã³z, Eduardo E.	234	53	Hospital Universitario Reina Sofia	Cordoba	Spain
Taheri, M#Shahid Beheshti University Medical Sciences	Taheri, Mohammad	672	38	UniversitÃ¤tsklinikum Jena und Medizinische FakultÃ¤t	Jena	Germany
Cottin, Y#Universite de Tours	NA	NA	NA	NA	NA	NA
Mewton, N#Universite Claude Bernard Lyon 1	Mewton, Nathan	154	31	CHU de Lyon	Lyon	France
McMurray, J J V#University of Glasgow	McMurray, John JV	1576	194	Glasgow Cardiovascular Research Centre	Glasgow	United Kingdom
Schlett, C L#University of Munich	Schlett, Christopher L.	196	33	UniversitÃ¤tsklinikum Freiburg	Freiburg im Breisgau	Germany
Zhao, M T#Ohio State University	Zhao, Mingtao	53	18	Nationwide Childrenâs Hospital	Columbus	United States
Salmasi, M Y#Imperial College London	Salmasi, Mohammad Yousuf	52	10	Imperial College London	London	United Kingdom
Dwivedi, G#Harry Perkins Institute of Medical Research	Dwivedi, Girish	236	29	Fiona Stanley Hospital	Perth	Australia
Cao, Y S#Tianjin Medical University	NA	NA	NA	NA	NA	NA
Hascoët, S#Hopital Universitaire Bicetre - APHP	NA	NA	NA	NA	NA	NA
Malloy, K W#Vanderbilt University	Malloy, Kelsey W.	2	2	Monroe Carell Jr. Children's Hospital at Vanderbilt	Nashville	United States
Wild, J M#University of Edinburgh	Wild, Jim M.	342	55	The University of Sheffield	Sheffield	United Kingdom
Ando, S#Kyushu University	Ando, Shin ichi	129	28	Kyushu University Hospital	Fukuoka	Japan
Liu, J#Lanzhou University	Liu, Jingshuang Jinglan	2022	116	Northeast Institute of Geography and Agroecology	Changchun	China
Yang, L N#China Medical University	Yang, Lina	38	14	Qingdao University	Qingdao	China
Perez-Vizcaino, F#CIBERES	Perez-Vizcaino, F.	215	50	Universidad Complutense de Madrid	Madrid	Spain
Sacks, M#Carleton University	NA	NA	NA	NA	NA	NA
Witt, M#Wroclaw Medical University	NA	NA	NA	NA	NA	NA
Cazzola, M#University of Parma	Cazzola, M.	662	60	UniversitÃ  degli Studi di Roma "Tor Vergata"	Rome	Italy
Lakshminrusimha, S#University of California Davis	Lakshminrusimha, Satyan	283	48	UC Davis Children's Hospital	Sacramento	United States
Amrutiya, V#	Amrutiya, Viralkumar	3	2	Hackensack Meridian Health Palisades Medical Center	North Bergen	United States
Andréasson, K#University of California Los Angeles	NA	NA	NA	NA	NA	NA
Williams, T M#Washington University	Williams, Marvin T.	24	8	Morsani College of Medicine	Tampa	United States
Burgel, P R#Hopital Universitaire Cochin - APHP	Burgel, Pierre RÃ©gis	312	53	Hopital Cochin AP-HP	Paris	France
Busana, M#University of Gottingen	Busana, Mattia	65	23	Georg-August-UniversitÃ¤t GÃ¶ttingen	Gottingen	Germany
Chaganti, B T#University of California Los Angeles Medical Center	Chaganti, Bhanu T.	8	3	Texas Tech University Health Sciences Center El Paso	El Paso	United States
Ching, C K#Singapore General Hospital	Ching, Chikeong	114	21	National Heart Centre Singapore	Singapore City	Singapore
D'Andrea, A#Hospital of Rimini	NA	NA	NA	NA	NA	NA
McKinsey, T A#University of Colorado Anschutz Medical Campus	McKinsey, Timothy A.	193	68	University of Colorado Anschutz Medical Campus	Aurora	United States
Gassanov, N#	Gassanov, Natig E.	86	19	Klinikum Idar-Oberstein	Idar-Oberstein	Germany
Goo, H W#Ewha Womans University	NA	NA	NA	NA	NA	NA
Chandel, N S#Feinberg School of Medicine	Chandel, Navdeep S.	322	107	Northwestern University Feinberg School of Medicine	Chicago	United States
Hanidziar, D#Beth Israel Deaconess Medical Center	Hanidziar, Dusan	31	13	Harvard Medical School	Boston	United States
Barratt, S L#North Bristol NHS Trust	Barratt, Shaney L.	76	26	University of Bristol	Bristol	United Kingdom
Kosuge, M#Yokohama City University	Kosuge, Masami	227	39	Yokohama City University Medical Center	Yokohama	Japan
Le Pavec, J M#Hannover Medical School	NA	NA	NA	NA	NA	NA
Ying, K J#Zhejiang University	Ying, Kejing	133	30	Sir Run Run Shaw Hospital	Hangzhou	China
Meegan, J E#Vanderbilt University	Meegan, Jamie E.	18	10	Vanderbilt University Medical Center	Nashville	United States
Kaczka, D W#University of Iowa	Kaczka, David W.	88	26	University of Iowa	Iowa City	United States
Yamaji-Kegan, K#Baltimore VA Medical Center	Yamaji-Kegan, Kazuyo	28	20	University of Maryland, Baltimore (UMB)	Baltimore	United States
Nir, A#Shaare Zedek Medical Center	Nir, Amiram	92	33	Shaare Zedek Medical Center	Jerusalem	Israel
Odland, J#Clarivate	Odland, Julie	8	1	Clarivate	Frederick	United States
Hoeper, M M#Justus Liebig University Giessen	Hoeper, Marius M.	510	98	Hannover Medical School	Hannover	Germany
Porres-Aguilar, M#Texas Tech University	Porres-Aguilar, Mateo	87	10	Texas Tech University Health Sciences Center El Paso	El Paso	United States
Rubin, P#University of Miami	Rubin, Phillip	5	1	University of Miami Leonard M. Miller School of Medicine	Miami	United States
Sano, Y#Rakuno Gakuen University	Sano, Yuto	13	4	Rakuno Gakuen University	Ebetsu	Japan
Shuryak, I#NewYork-Presbyterian Hospital	NA	NA	NA	NA	NA	NA
Lee, J Y#University of South Alabama	Kim, Sungjin Yeon	343	43	Korea Advanced Institute of Science and Technology	Daejeon	South Korea
Ajijola, O A#University of California Los Angeles	Ajijola, Olujimi A.	148	33	UCLA Health	Los Angeles	United States
Gan, T J#State University of New York	Gan, Tongjoon	398	78	Renaissance School of Medicine at Stony Brook University	Stony Brook	United States
Uddin, M M#Detroit Medical Center	Uddin, Monica	96	42	University of Illinois Urbana-Champaign	Urbana	United States
Lv, F D#Capital Medical University	Lv, Fudong	19	12	Beijing YouAn Hospital, Capital Medical University	Beijing	China
Watanabe, H#Showa University	Watanabe, Hiroshi Y.	1367	74	Saka General Hospital	Shiogama	Japan
Fang, Y#University of Chicago	Fang, Yuguang Michael	596	70	City University of Hong Kong	Hong Kong	Hong Kong
Robbins, P A#University of Oxford	Robbins, Peter A.	248	49	University of Oxford Medical Sciences Division	Oxford	United Kingdom
Zhou, S J#Soochow University - China	Zhou, Junsong	13	11	Lewis Katz School of Medicine	Philadelphia	United States
Zamanian, R T#VA Palo Alto Health Care System	NA	NA	NA	NA	NA	NA
Gopalakrishnan, A#Sree Chitra Tirunal Institute for Medical Sciences Technology	Gopalakrishnan, Arun	79	4	Sree Chitra Tirunal Institute for Medical Sciences and Technology	Thiruvananthapuram	India
Dominelli, P B#University of Waterloo	Dominelli, Paolo B.	90	22	Mayo Clinic	Rochester	United States
Brugaletta, S#Bellvitge University Hospital	Brugaletta, Salvatore	369	49	Universitat de Barcelona	Barcelona	Spain
Enomoto, N#Hamamatsu University School of Medicine	Enomoto, Noriyuki	221	34	Hamamatsu University School of Medicine	Hamamatsu	Japan
Heffernan, M#University of Bath	Heffernan, Margaret	1	0	University of Bath, School of Management	Bath	United Kingdom
Janssen, R#University Hospital Leuven	Janssen, Reile	2	2	KU Leuvenâ University Hospital Leuven	3000 Leuven	Belgium
Miki, K#	Miki, Kunio	297	48	Graduate School of Science	Kyoto	Japan
Suvvari, T K#Anglia Ruskin University	NA	NA	NA	NA	NA	NA
Khanna, D#University of Michigan	Khanna, Dinesh K.	546	84	University of Michigan Medical School	Ann Arbor	United States
Jaksch, P#Medical University of Vienna	Jaksch, PÃ©ter	189	38	Medizinische UniversitÃ¤t Wien	Vienna	Austria
Dravid, A#	Dravid, Anant R.	40	18	Preclinical Research	Basel	Switzerland
Ng, T#University of Tennessee Health Science Center	Ng, Thomas T.	103	26	University of Tennessee Health Science Center	Memphis	United States
