Mol ID	Molecule name	Molecule name.link	MW	AlogP	HDon	HAcc	OB (%)	Caco-2	BBB	DL	FASA-	HL
MOL000016	glucoiberin(e)_qt	https://tcmsp-e.com/molecule.php?qn=16	261.38	-0.36	1	6	17.69	-0.54	-1.06	0.05	0.29	
MOL000017	beta-D-Glucopyranose, 1-thio-, 1-(1-methoxy-N-(sulfooxy)-1H-indole-3-ethanimidate)	https://tcmsp-e.com/molecule.php?qn=17	478.55	-0.04	5	11	1.94	-1.28	-1.66	0.56	0.22	
MOL000018	(+/-)-Isoborneol	https://tcmsp-e.com/molecule.php?qn=18	154.28	1.98	1	1	86.98	1.27	1.60	0.05	0.00	11.36
MOL000019	D-Camphene	https://tcmsp-e.com/molecule.php?qn=19	136.26	2.93	0	0	34.98	1.81	2.19	0.04	0.00	11.29
MOL000020	12-senecioyl-2E,8E,10E-atractylentriol	https://tcmsp-e.com/molecule.php?qn=20	312.39	2.50	0	4	62.40	0.01	-1.37	0.22	0.12	6.07
MOL000021	14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol	https://tcmsp-e.com/molecule.php?qn=21	355.44	3.21	0	5	60.31	0.33	-1.09	0.31	0.05	5.32
MOL000022	14-acetyl-12-senecioyl-2E,8Z,10E-atractylentriol	https://tcmsp-e.com/molecule.php?qn=22	356.45	3.54	1	5	63.37	0.42	-1.14	0.30	0.00	6.43
MOL000023	Hemo-sol	https://tcmsp-e.com/molecule.php?qn=23	136.26	3.50	0	0	39.84	1.83	2.12	0.02	0.00	11.68
MOL000024	alpha-humulene	https://tcmsp-e.com/molecule.php?qn=24	204.39	5.04	0	0	22.98	1.88	2.08	0.06	0.00	
MOL000025	α-Longipinene	https://tcmsp-e.com/molecule.php?qn=25	204.39	4.12	0	0	53.26	1.83	2.14	0.12	0.00	12.06
MOL000026	stigmast-22E-en-3beta-ol	https://tcmsp-e.com/molecule.php?qn=26	414.79	7.89	1	1	10.39	1.43	1.13	0.75	0.00	
MOL000027	alpha-Curcumene	https://tcmsp-e.com/molecule.php?qn=27	202.37	5.34	0	0	4.68	1.93	1.99	0.06	0.00	
MOL000028	α-Amyrin	https://tcmsp-e.com/molecule.php?qn=28	426.80	7.35	1	1	39.51	1.42	1.28	0.76	0.00	3.83
MOL000029	beta-Humulene	https://tcmsp-e.com/molecule.php?qn=29	204.39	5.09	0	0	26.87	1.82	2.01	0.06	0.00	
MOL000030	(1R)-2-methyl-1-phenylprop-2-en-1-ol	https://tcmsp-e.com/molecule.php?qn=30	148.22	2.32	1	1	75.10	1.27	1.38	0.03	0.00	-2.13
MOL000031	(3S)-3-[(1R)-1,5-dimethylhex-4-enyl]-6-methylenecyclohexene	https://tcmsp-e.com/molecule.php?qn=31	204.39	5.14	0	0	19.86	1.88	1.99	0.06	0.00	
MOL000032	beta-Eudesmol	https://tcmsp-e.com/molecule.php?qn=32	222.41	3.72	1	1	26.09	1.32	1.38	0.10	0.00	
MOL000033	(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	https://tcmsp-e.com/molecule.php?qn=33	428.82	8.54	1	1	36.23	1.45	1.09	0.78	0.00	5.22
MOL000034	2-[(1R,3S,4S)-3-isopropenyl-4-methyl-4-vinylcyclohexyl]propan-2-ol	https://tcmsp-e.com/molecule.php?qn=34	222.41	3.70	1	1	19.03	1.37	1.46	0.07	0.00	
MOL000035	beta-Selinene	https://tcmsp-e.com/molecule.php?qn=35	204.39	4.81	0	0	24.39	1.83	2.12	0.08	0.00	
MOL000036	beta-caryophyllene	https://tcmsp-e.com/molecule.php?qn=36	204.39	4.75	0	0	29.70	1.83	2.07	0.09	0.00	
MOL000037	γ-elemene	https://tcmsp-e.com/molecule.php?qn=37	204.39	4.93	0	0	23.79	1.87	2.10	0.06	0.00	
MOL000038	Akridin	https://tcmsp-e.com/molecule.php?qn=38	179.23	3.35	0	1	33.71	1.63	1.53	0.10	0.00	6.82
MOL000039	(1S,2R,4R)-Neoiso-dihydrocarveol	https://tcmsp-e.com/molecule.php?qn=39	154.28	2.58	1	1	52.40	1.38	1.69	0.03	0.00	11.46
MOL000040	Scopoletol	https://tcmsp-e.com/molecule.php?qn=40	192.18	1.62	1	4	27.77	0.71	0.30	0.08	0.00	
MOL000041	PHA	https://tcmsp-e.com/molecule.php?qn=41	165.21	0.96	3	3	41.62	0.36	0.22	0.04	0.00	4.62
MOL000042	LPG	https://tcmsp-e.com/molecule.php?qn=42	89.11	-0.60	3	3	87.69	-0.34	-0.77	0.01	0.00	11.58
MOL000043	atractylenolide i	https://tcmsp-e.com/molecule.php?qn=43	230.33	3.32	0	2	37.37	1.30	1.29	0.15	0.00	7.10
MOL000044	atractylenolideII	https://tcmsp-e.com/molecule.php?qn=44	232.35	3.57	0	2	47.50	1.30	1.37	0.15	0.00	7.21
MOL000045	atractylenolide iii	https://tcmsp-e.com/molecule.php?qn=45	248.35	2.93	1	3	68.11	0.75	0.63	0.17	0.00	7.17
MOL000046	atractylone	https://tcmsp-e.com/molecule.php?qn=46	216.35	4.11	0	1	41.10	1.76	1.85	0.13	0.00	1.74
MOL000047	juniper camphor	https://tcmsp-e.com/molecule.php?qn=47	222.41	3.93	1	1	33.30	1.44	1.61	0.10	0.00	9.27
MOL000048	(5E,9Z)-3,6,10-trimethyl-4,7,8,11-tetrahydrocyclodeca[b]furan	https://tcmsp-e.com/molecule.php?qn=48	216.35	4.63	0	1	43.17	1.77	1.83	0.10	0.00	-1.40
MOL000049	3β-acetoxyatractylone	https://tcmsp-e.com/molecule.php?qn=49	274.39	3.39	0	3	54.07	1.13	1.08	0.22	0.00	-1.31
MOL000050	GLY	https://tcmsp-e.com/molecule.php?qn=50	75.08	-0.98	3	3	48.74	-0.56	-1.03	0.00	0.00	11.95
MOL000051	Polymannose	https://tcmsp-e.com/molecule.php?qn=51	180.18	-2.68	5	6	1.76	-1.94	-4.53	0.03	0.00	
MOL000052	Gulutamine	https://tcmsp-e.com/molecule.php?qn=52	147.15	-0.92	4	5	6.66	-1.05	-1.97	0.02	0.00	
MOL000053	Methose	https://tcmsp-e.com/molecule.php?qn=53	180.18	-2.69	5	6	1.68	-1.80	-4.58	0.03	0.00	
MOL000054	L-	https://tcmsp-e.com/molecule.php?qn=54	174.24	-1.11	7	6	47.64	-0.49	-1.04	0.03	0.00	0.85
MOL000055	L-Lysin	https://tcmsp-e.com/molecule.php?qn=55	146.22	-0.68	5	4	29.33	-0.66	-1.44	0.02	0.00	
MOL000056	DTY	https://tcmsp-e.com/molecule.php?qn=56	181.21	0.69	4	4	57.55	-0.10	-0.49	0.05	0.00	0.96
MOL000057	DIBP	https://tcmsp-e.com/molecule.php?qn=57	278.38	3.92	0	4	49.63	0.85	0.68	0.13	0.00	3.94
MOL000058	2-[(2R,5S,6S)-6,10-dimethylspiro[4.5]dec-9-en-2-yl]propan-2-ol	https://tcmsp-e.com/molecule.php?qn=58	222.41	3.67	1	1	38.59	1.34	1.42	0.09	0.00	7.61
MOL000059	uridine	https://tcmsp-e.com/molecule.php?qn=59	244.23	-2.45	4	8	10.49	-1.14	-1.61	0.11	0.00	
MOL000060	selina-4(14),7(11)-dien-8-one	https://tcmsp-e.com/molecule.php?qn=60	218.37	3.81	0	1	32.31	1.42	1.57	0.10	0.00	7.68
MOL000061	Prolinum	https://tcmsp-e.com/molecule.php?qn=61	115.15	-0.06	2	3	77.57	0.22	0.29	0.01	0.00	11.13
MOL000062	biatractylolide	https://tcmsp-e.com/molecule.php?qn=62	462.68	6.68	0	4	17.45	0.83	0.37	0.81	0.00	
MOL000063	ATRACTYLODES MACROCEPHALA	https://tcmsp-e.com/molecule.php?qn=63	462.68	6.68	0	4	14.60	0.88	0.60	0.81	0.00	
MOL000064	D-Serin	https://tcmsp-e.com/molecule.php?qn=64	105.11	-1.49	4	4	83.59	-0.94	-1.75	0.01	0.00	11.51
MOL000065	ASI	https://tcmsp-e.com/molecule.php?qn=65	133.12	-1.25	4	5	79.74	-1.02	-1.53	0.02	0.00	11.38
MOL000066	alloaromadedrene	https://tcmsp-e.com/molecule.php?qn=66	204.39	4.22	0	0	53.46	1.83	2.10	0.10	0.00	12.51
MOL000067	L-Valin	https://tcmsp-e.com/molecule.php?qn=67	117.17	0.24	3	3	53.33	0.04	-0.14	0.01	0.00	11.34
MOL000068	L-Ile	https://tcmsp-e.com/molecule.php?qn=68	131.20	0.70	3	3	59.05	0.06	-0.11	0.02	0.00	11.21
MOL000069	palmitic acid	https://tcmsp-e.com/molecule.php?qn=69	256.48	6.37	1	2	19.30	1.09	1.00	0.10	0.00	
MOL000070	Ethyl pivaloylacetate	https://tcmsp-e.com/molecule.php?qn=70	172.25	1.69	0	3	40.52	0.82	0.83	0.03	0.00	1.92
MOL000071	Istidina	https://tcmsp-e.com/molecule.php?qn=71	155.18	-1.01	4	4	53.18	-0.25	-0.40	0.03	0.00	-5.72
MOL000072	8β-ethoxy atractylenolide Ⅲ	https://tcmsp-e.com/molecule.php?qn=72	276.41	3.68	0	3	35.95	1.08	1.12	0.21	0.00	8.34
MOL000073	ent-Epicatechin	https://tcmsp-e.com/molecule.php?qn=73	290.29	1.92	5	6	48.96	0.02	-0.64	0.24	0.34	0.63
MOL000074	(4E,6E)-1,7-bis(4-hydroxyphenyl)hepta-4,6-dien-3-one	https://tcmsp-e.com/molecule.php?qn=74	294.37	3.98	2	3	67.92	0.83	-0.42	0.24	0.45	4.38
MOL000075	(4E,6E)-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)-4	https://tcmsp-e.com/molecule.php?qn=75	324.40	3.96	2	4	4.53	0.77	-0.09	0.30	0.37	
MOL000076	1,7-bis(4-hydroxy-3-methoxyphenyl)-4,6-heptadien-3one	https://tcmsp-e.com/molecule.php?qn=76	354.43	3.94	2	5	4.49	0.69	-0.38	0.38	0.34	
MOL000077	Aldrich	https://tcmsp-e.com/molecule.php?qn=77	154.18	1.53	1	3	37.50	1.24	1.32	0.03	0.23	11.36
MOL000078	6,7-dihydroxy-3,7-dimethyloct-2-enoic acid	https://tcmsp-e.com/molecule.php?qn=78	202.28	1.08	3	4	23.56	-0.13	-0.38	0.05	0.31	
MOL000079	6,7-dihydroxy-indan-4-carbaldehyde	https://tcmsp-e.com/molecule.php?qn=79	178.20	2.11	2	3	46.27	0.70	0.37	0.06	0.30	13.75
MOL000080	6-(4-hydroxyphenyl)-4-hydroxyhexan-2-one	https://tcmsp-e.com/molecule.php?qn=80	208.28	1.45	2	3	9.49	0.26	-0.33	0.06	0.36	
MOL000081	6-hydroxy-indan-4-carbaldehyde	https://tcmsp-e.com/molecule.php?qn=81	162.20	2.38	1	2	44.40	1.01	0.79	0.05	0.32	13.54
MOL000082	(3R,5R)-1,7-bis(4-hydroxyphenyl)heptane-3,5-diol	https://tcmsp-e.com/molecule.php?qn=82	316.43	3.41	4	4	5.55	0.14	-0.90	0.25	0.35	
MOL000083	(2E,6E)-8-hydroxy-2,6-dimethylocta-2,6-dienal	https://tcmsp-e.com/molecule.php?qn=83	168.26	2.10	1	2	64.28	0.53	0.04	0.03	0.32	5.05
MOL000084	beta-daucosterol	https://tcmsp-e.com/molecule.php?qn=84	576.95	6.34	4	6	20.63	-0.19	-0.88	0.63	0.22	
MOL000085	beta-daucosterol_qt	https://tcmsp-e.com/molecule.php?qn=85	414.79	8.08	1	1	36.91	1.30	0.88	0.75	0.22	5.02
MOL000086	(24S)-5beta-Stigmastan-3beta-ol	https://tcmsp-e.com/molecule.php?qn=86	416.81	8.33	1	1	25.32	1.41	1.18	0.75	0.20	
MOL000087	beta-sitosterol 3-O-glucoside	https://tcmsp-e.com/molecule.php?qn=87	576.95	6.34	4	6	20.63	-0.45	-1.18	0.62	0.23	
MOL000088	beta-sitosterol 3-O-glucoside_qt	https://tcmsp-e.com/molecule.php?qn=88	414.79	8.08	1	1	36.91	1.30	0.91	0.75	0.23	4.55
MOL000089	catechol	https://tcmsp-e.com/molecule.php?qn=89	110.12	1.30	2	2	29.86	1.09	1.32	0.02	0.42	
MOL000090	Curcumin	https://tcmsp-e.com/molecule.php?qn=90	368.41	3.36	3	6	5.15	0.50	-0.76	0.41	0.32	
MOL000091	daucosterin	https://tcmsp-e.com/molecule.php?qn=91	576.95	6.34	4	6	20.63	-0.28	-1.00	0.63	0.22	
MOL000092	daucosterin_qt	https://tcmsp-e.com/molecule.php?qn=92	414.79	8.08	1	1	36.91	1.42	1.15	0.76	0.22	3.49
MOL000093	daucosterol	https://tcmsp-e.com/molecule.php?qn=93	576.95	6.34	4	6	20.63	-0.26	-0.97	0.63	0.23	
MOL000094	daucosterol_qt	https://tcmsp-e.com/molecule.php?qn=94	414.79	8.08	1	1	36.91	1.30	0.87	0.76	0.22	4.96
MOL000095	delta 7-stigmastenol	https://tcmsp-e.com/molecule.php?qn=95	416.81	8.33	1	1	25.32	1.31	0.98	0.75	0.21	
MOL000096	(-)-catechin	https://tcmsp-e.com/molecule.php?qn=96	290.29	1.92	5	6	49.68	-0.03	-0.78	0.24	0.35	0.38
MOL000098	quercetin	https://tcmsp-e.com/molecule.php?qn=98	302.25	1.50	5	7	46.43	0.05	-0.77	0.28	0.38	14.40
MOL000100	isoquercetin_qt	https://tcmsp-e.com/molecule.php?qn=100	302.25	0.34	5	7	5.92	0.00	-0.78	0.28	0.04	
MOL000101	(3aS,7R,7aR)-7-hydroxy-2,3,3a,6,7,7a-hexahydro-1H-indene-4-carbaldehyde	https://tcmsp-e.com/molecule.php?qn=101	166.24	1.32	1	2	59.92	0.53	0.33	0.05	0.25	13.28
MOL000102	meso-hannokinol	https://tcmsp-e.com/molecule.php?qn=102	316.43	3.41	4	4	5.55	0.39	-0.48	0.25	0.34	
MOL000103	PHB	https://tcmsp-e.com/molecule.php?qn=103	138.13	1.17	2	3	30.15	0.39	0.21	0.03	0.45	11.77
MOL000104	p-menth-1-ene-5,6-diol	https://tcmsp-e.com/molecule.php?qn=104	170.28	1.70	2	2	28.80	0.56	0.53	0.04	0.28	
MOL000105	protocatechuic acid	https://tcmsp-e.com/molecule.php?qn=105	154.13	0.90	3	4	25.37	0.10	-0.17	0.04	0.43	
MOL000106	PYG	https://tcmsp-e.com/molecule.php?qn=106	126.12	1.03	3	3	22.98	0.69	0.79	0.02	0.40	
MOL000107	quercertin,3-o-beta-d-glucopyranoside	https://tcmsp-e.com/molecule.php?qn=107	464.41	-0.59	8	12	1.86	-1.56	-2.35	0.77	0.30	
MOL000108	quercetin 3-o-rhamnopyranosyl	https://tcmsp-e.com/molecule.php?qn=108	610.57	-1.45	10	16	3.20	-2.46	-3.27	0.68	0.31	
MOL000109	quercetin,3-o-glucoside	https://tcmsp-e.com/molecule.php?qn=109	464.41	-0.59	8	12	15.98	-1.55	-2.29	0.77	0.30	
MOL000110	quercetin,3-o-glucoside_qt	https://tcmsp-e.com/molecule.php?qn=110	316.28	0.40	4	7	7.47	0.30	-0.55	0.30	0.03	
MOL000111	quercetin,3-o-rutinoside	https://tcmsp-e.com/molecule.php?qn=111	610.57	-1.45	10	16	3.20	-2.38	-3.10	0.68	0.30	
MOL000112	quercetin-3-o-galactopyranoside	https://tcmsp-e.com/molecule.php?qn=112	464.41	-0.59	8	12	1.17	-1.52	-2.18	0.77	0.30	
MOL000113	(3aR,7R,7aS)-7-hydroxy-2,3,3a,6,7,7a-hexahydro-1H-indene-4-carbaldehyde	https://tcmsp-e.com/molecule.php?qn=113	166.24	1.32	1	2	62.07	0.71	0.80	0.05	0.23	13.34
MOL000114	vanillic acid	https://tcmsp-e.com/molecule.php?qn=114	168.16	1.15	2	4	35.47	0.43	0.09	0.04	0.34	11.62
MOL000115	Undecenal	https://tcmsp-e.com/molecule.php?qn=115	168.31	4.11	0	1	39.35	1.43	1.61	0.03	0.25	7.11
MOL000116	Nonanal	https://tcmsp-e.com/molecule.php?qn=116	142.27	3.22	0	1	40.28	1.31	1.50	0.02	0.21	6.35
MOL000117	Cymol	https://tcmsp-e.com/molecule.php?qn=117	134.24	3.51	0	0	27.20	1.86	2.10	0.02	0.34	
MOL000118	(L)-alpha-Terpineol	https://tcmsp-e.com/molecule.php?qn=118	154.28	2.42	1	1	48.80	1.39	1.72	0.03	0.27	11.35
MOL000119	ZINC02040970	https://tcmsp-e.com/molecule.php?qn=119	222.41	4.56	1	1	40.43	1.44	1.31	0.06	0.30	4.73
MOL000120	dec-2-enal	https://tcmsp-e.com/molecule.php?qn=120	154.28	3.66	0	1	18.55	1.40	1.59	0.02	0.27	
MOL000121	Decanal	https://tcmsp-e.com/molecule.php?qn=121	156.30	3.68	0	1	29.81	1.34	1.44	0.02	0.20	
MOL000122	1,8-cineole	https://tcmsp-e.com/molecule.php?qn=122	154.28	2.15	0	1	39.73	1.57	2.06	0.05	0.24	11.29
MOL000123	geraniol	https://tcmsp-e.com/molecule.php?qn=123	154.28	2.93	1	1	23.93	1.19	1.14	0.02	0.27	
MOL000124	citral	https://tcmsp-e.com/molecule.php?qn=124	152.26	3.19	0	1	22.52	1.33	1.43	0.02	0.33	
MOL000125	(-)-alpha-Pinene	https://tcmsp-e.com/molecule.php?qn=125	136.26	2.87	0	0	46.25	1.85	2.30	0.05	0.25	11.42
MOL000126	(-)-nopinene	https://tcmsp-e.com/molecule.php?qn=126	136.26	2.93	0	0	44.84	1.80	2.12	0.05	0.27	11.32
MOL000127	Neral	https://tcmsp-e.com/molecule.php?qn=127	152.26	3.19	0	1	19.48	1.36	1.51	0.02	0.34	
MOL000128	NERYLACETATE	https://tcmsp-e.com/molecule.php?qn=128	196.32	3.31	0	2	25.94	1.28	1.28	0.04	0.27	
MOL000129	Acetate C-8	https://tcmsp-e.com/molecule.php?qn=129	172.30	3.18	0	2	18.43	1.24	1.28	0.03	0.18	
MOL000130	CAM	https://tcmsp-e.com/molecule.php?qn=130	152.26	1.94	0	1	67.17	1.29	1.71	0.05	0.27	11.34
MOL000131	EIC	https://tcmsp-e.com/molecule.php?qn=131	280.50	6.39	1	2	41.90	1.16	0.90	0.14	0.25	7.50
MOL000132	(5beta,25S)-Spirostan-3beta,15alpha,23alpha-diol-3-O-D-glucopyranosyl-(1-2)-beta-D-galactopyranoside	https://tcmsp-e.com/molecule.php?qn=132	757.03	0.68	8	14	29.86	-2.23	-2.90	0.08	0.20	
MOL000133	7-Epitaxol	https://tcmsp-e.com/molecule.php?qn=133	853.99	3.13	4	15	45.18	-0.98	-1.54	0.24	0.28	11.51
MOL000134	Delta3,5-Deoxytigogenin	https://tcmsp-e.com/molecule.php?qn=134	412.67	4.73	1	3	15.39	1.04	0.52	0.81	0.22	
MOL000135	Deoxyvasicinone	https://tcmsp-e.com/molecule.php?qn=135	186.23	1.29	0	3	56.29	1.04	0.61	0.10	0.32	10.53
MOL000136	Dioscoreside C	https://tcmsp-e.com/molecule.php?qn=136	1,061.36	-1.25	12	22	10.32	-3.13	-3.87	0.03	0.20	
MOL000137	Diosgenin acetate	https://tcmsp-e.com/molecule.php?qn=137	456.73	5.01	0	4	16.72	0.88	0.35	0.72	0.18	
MOL000138	Diosgenin palmitate	https://tcmsp-e.com/molecule.php?qn=138	653.15	11.61	0	4	33.58	1.03	0.15	0.27	0.20	9.48
MOL000139	Smitilbin	https://tcmsp-e.com/molecule.php?qn=139	450.43	0.63	7	11	37.60	-1.39	-2.06	0.74	0.37	16.95
MOL000140	DIOSGENIN,DEHYDRO	https://tcmsp-e.com/molecule.php?qn=140	396.67	5.43	0	2	12.67	1.46	1.34	0.82	0.22	
MOL000141	hydroxytyrosol	https://tcmsp-e.com/molecule.php?qn=141	154.18	1.01	3	3	57.57	0.30	-0.17	0.03	0.32	1.92
MOL000142	Calceolarioside B	https://tcmsp-e.com/molecule.php?qn=142	478.49	1.24	7	11	1.58	-1.15	-2.21	0.70	0.36	
MOL000144	Kirenol	https://tcmsp-e.com/molecule.php?qn=144	352.57	1.83	4	4	23.18	-0.60	-1.49	0.39	0.21	
MOL000145	leucosceptoside A	https://tcmsp-e.com/molecule.php?qn=145	638.68	0.63	8	15	4.17	-1.96	-3.16	0.61	0.31	
MOL000148	trichotomoside	https://tcmsp-e.com/molecule.php?qn=148	912.97	3.87	5	20	3.34	-1.10	-2.34	0.23	0.27	
MOL000149	inositol	https://tcmsp-e.com/molecule.php?qn=149	180.18	-3.06	6	6	18.86	-1.52	-3.09	0.05	0.24	
MOL000150	acacetin-7-glucurono-(1→2)-glucuronide	https://tcmsp-e.com/molecule.php?qn=150	610.57	-1.13	10	16	9.39	-2.71	-3.50	0.70	0.32	
MOL000152	Acacetin-7-glucurono-(1-2)-glucuronide	https://tcmsp-e.com/molecule.php?qn=152	636.56	-0.65	8	17	28.92	-1.84	-2.67	0.60	0.27	
MOL000153	clerodendrin A	https://tcmsp-e.com/molecule.php?qn=153	606.73	0.87	1	12	7.57	-0.57	-0.96	0.75	0.28	
MOL000154	clerodendrin D	https://tcmsp-e.com/molecule.php?qn=154	550.71	1.54	1	10	12.08	-0.42	-1.04	0.79	0.26	
MOL000155	acteoside isomer	https://tcmsp-e.com/molecule.php?qn=155	624.65	0.38	9	15	3.05	-1.56	-2.74	0.61	0.34	
MOL000156	decaffeoylacteoside	https://tcmsp-e.com/molecule.php?qn=156	462.50	-1.59	8	12	6.33	-1.88	-2.40	0.63	0.26	
MOL000157	[(2R,3S,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	https://tcmsp-e.com/molecule.php?qn=157	478.49	1.24	7	11	1.56	-1.06	-2.33	0.68	0.34	
MOL000158	desrhamnosyl isoacteoside	https://tcmsp-e.com/molecule.php?qn=158	478.49	1.24	7	11	1.58	-1.06	-2.03	0.70	0.34	
MOL000159	[(2R,3R,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-3,5-dihydroxy-4-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	https://tcmsp-e.com/molecule.php?qn=159	624.65	0.38	9	15	3.05	-1.99	-2.93	0.60	0.31	
MOL000161	Isopropylidenkirenol	https://tcmsp-e.com/molecule.php?qn=161	378.61	2.50	2	4	57.09	0.24	-0.39	0.54	0.22	2.82
MOL000162	beta-Chamigrene	https://tcmsp-e.com/molecule.php?qn=162	204.39	4.71	0	0	31.99	1.82	2.07	0.08	0.00	8.59
MOL000163	Atractylodin	https://tcmsp-e.com/molecule.php?qn=163	182.23	3.83	0	1	44.49	2.00	1.03	0.05	0.38	0.83
MOL000164	atractylone	https://tcmsp-e.com/molecule.php?qn=164	216.35	4.11	0	1	33.91	1.74	1.83	0.13	0.23	1.52
MOL000165	2-[(2S,5S,6S)-6,10-dimethylspiro[4.5]dec-9-en-2-yl]propan-2-ol	https://tcmsp-e.com/molecule.php?qn=165	222.41	3.67	1	1	37.62	1.44	1.53	0.09	0.23	7.67
MOL000166	ZINC01609418	https://tcmsp-e.com/molecule.php?qn=166	222.41	4.31	1	1	21.62	1.41	1.37	0.07	0.26	
MOL000167	3β-hydroxyatractylone	https://tcmsp-e.com/molecule.php?qn=167	232.35	3.01	1	2	21.17	1.18	0.97	0.15	0.22	
MOL000168	()-2-Carene	https://tcmsp-e.com/molecule.php?qn=168	136.26	2.87	0	0	46.69	1.89	2.27	0.04	0.26	11.42
MOL000169	alpha-Guaiene	https://tcmsp-e.com/molecule.php?qn=169	204.39	4.99	0	0	25.93	1.81	2.09	0.07	0.26	
MOL000170	guaiene	https://tcmsp-e.com/molecule.php?qn=170	204.39	5.13	0	0	28.21	1.83	2.03	0.07	0.23	
MOL000171	Guaiol	https://tcmsp-e.com/molecule.php?qn=171	222.41	3.91	1	1	38.77	1.36	1.47	0.09	0.22	6.20
MOL000172	Furol	https://tcmsp-e.com/molecule.php?qn=172	96.09	0.99	0	2	34.35	1.08	1.51	0.01	0.20	4.53
MOL000173	wogonin	https://tcmsp-e.com/molecule.php?qn=173	284.28	2.59	2	5	30.68	0.79	0.04	0.23	0.32	17.75
MOL000174	(2E,8E)-9-(2-furyl)nona-2,8-dien-4,6-diyn-1-ol	https://tcmsp-e.com/molecule.php?qn=174	198.23	2.74	1	2	47.60	1.33	0.14	0.07	0.35	1.08
MOL000175	cyperene	https://tcmsp-e.com/molecule.php?qn=175	204.39	4.32	0	0	51.10	1.81	2.13	0.11	0.23	12.57
MOL000178	atractylenolide iii	https://tcmsp-e.com/molecule.php?qn=178	248.35	2.93	1	3	31.66	0.75	0.64	0.17	0.32	7.34
MOL000179	2-Hydroxyisoxypropyl-3-hydroxy-7-isopentene-2,3-dihydrobenzofuran-5-carboxylic	https://tcmsp-e.com/molecule.php?qn=179	306.39	2.59	3	5	45.20	-0.34	-0.91	0.20	0.35	4.90
